row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Cho vay,Thu hồi góc vay,Lãi vay phải thu,Lãi vay đã thu,Cổ tức phải trả,Cổ tức đã trả,numeric__Mối quan hệ,numeric__Cho vay,numeric__Thu hồi góc vay,numeric__Lãi vay phải thu,numeric__Lãi vay đã thu,numeric__Cổ tức phải trả,numeric__Cổ tức đã trả
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,4.429.414.406.250,(3.388.012.500.000),368.110.422.915,(327.978.377.779),-,-,,4429414406250.0,-3388012500000.0,368110422915.0,-327978377779.0,,
Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty con,2.503.130.705.432,(940.000.000.000),73.264.979.568,(74.415.972.223),-,-,,2503130705432.0,-940000000000.0,73264979568.0,-74415972223.0,,
Công ty BDS Hải Phòng,Công ty BDS Hải Phòng,Công ty BDS Hải Phòng,Công ty con,293.461.370.057,(55.000.000.000),2.279.336.166,(1.555.556),-,-,,293461370057.0,-55000000000.0,2279336166.0,-1555556.0,,
Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty con,578.662.101.944,-,43.748.136.872,-,-,-,,578662101944.0,,43748136872.0,,,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty cùng Tập đoàn,210.000.000.000,-,2.858.333.333,-,-,-,,210000000000.0,,2858333333.0,,,
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,-,-,-,-,(251.447.000.000),251.447.000.000,,,,,,-251447000000.0,251447000000.0
Credit Suisse,Credit Suisse,Credit Suisse,Cổ đông,-,-,-,-,(83.816.000.000),83.816.000.000,,,,,,-83816000000.0,83816000000.0
