row_label_raw,row_label_full,Bên liên quan,Mối quanhệ,Chuyển nhượng cổ phần phải trả,Chuyển nhượng cổ phần đã trả,Chuyển nhượng cổ phần phải thu,Chuyển nhượng cổ phần đã thu,Nhận đặt cọc mua cổ phần,Góp vốn/(nhận góp vốn),Thu hồi vốn góp,numeric__Mối quanhệ,numeric__Chuyển nhượng cổ phần phải trả,numeric__Chuyển nhượng cổ phần đã trả,numeric__Chuyển nhượng cổ phần phải thu,numeric__Chuyển nhượng cổ phần đã thu,numeric__Nhận đặt cọc mua cổ phần,numeric__Góp vốn/(nhận góp vốn),numeric__Thu hồi vốn góp
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,(229.722.222.222),229.722.222.222,-,-,-,-,-,,-229722222222.0,229722222222.0,,,,,
Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty con,(4.490.000.000),-,-,-,(1.621.970.350.000),-,-,,-4490000000.0,,,,-1621970350000.0,,
Công ty Vincom Center Bà Triệu,Công ty Vincom Center Bà Triệu,Công ty Vincom Center Bà Triệu,Công ty con,-,-,-,-,-,-,(270.000.000.000),,,,,,,,-270000000000.0
Công ty VMM Royal City,Công ty VMM Royal City,Công ty VMM Royal City,Công ty con,-,-,-,-,-,-,(1.650.000.000.000),,,,,,,,-1650000000000.0
Công ty VMM Times City,Công ty VMM Times City,Công ty VMM Times City,Công ty con,-,-,-,-,-,-,(1.570.000.000.000),,,,,,,,-1570000000000.0
Công ty BDS Hải Phòng,Công ty BDS Hải Phòng,Công ty BDS Hải Phòng,Công ty con,(57.957.800.000),57.957.800.000,1.047.957.800.000,(1.047.957.800.000),-,-,-,,-57957800000.0,57957800000.0,1047957800000.0,-1047957800000.0,,,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty cùng Tập đoàn,(2.235.780.000.000),2.235.780.000.000,-,-,-,-,-,,-2235780000000.0,2235780000000.0,,,,,
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,-,-,-,-,-,(400.145.000.000),-,,,,,,,-400145000000.0,
Credit Suisse,Credit Suisse,Credit Suisse,Cổ đông,-,-,-,-,-,(133.382.000.000),-,,,,,,,-133382000000.0,
Công ty Riverview Đà Nẵng,Công ty Riverview Đà Nẵng,Công ty Riverview Đà Nẵng,Công ty con,-,-,-,-,-,20.000.000.000,-,,,,,,,20000000000.0,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty liên kết,-,-,-,-,-,1.815.000.000.000,-,,,,,,,1815000000000.0,
