row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số cuối năm > Tỷ lệ sở hữu (%),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ sở hữu (%),Thuyết minh,numeric__Tên đơn vị,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Thuyết minh
1,1,1,Công ty Vincom Retail Miền Bắc,(*),3.358.780.000.000,(*),"100,00",(*),5.858.950.564.160,(**),"100,00",(i),,,3358780000000.0,,100.0,,5858950564160.0,,100.0,
2,2,2,Công ty Vin Tây,50.000,2.615.234.719,(**),"1,00",,-,,-,(ii),,50000.0,2615234719.0,,1.0,,,,,
3,3,3,Công ty Vincom Retail Miền Nam,(*),779.000.000.000,(*),"100,00",(*),449.000.000.000,(**),"100,00",(iii),,,779000000000.0,,100.0,,449000000000.0,,100.0,
4,4,4,Công ty Suối Hoa,528.000,224.888.928.000,(**),"88,00",,-,,-,(iv),,528000.0,224888928000.0,,88.0,,,,,
5,5,5,Công ty Ngôi Sao Xanh,91.884.000,2.586.997.106.680,(**),"74,10",,-,,-,(v),,91884000.0,2586997106680.0,,74.1,,,,,
6,6,6,Công ty Cổ phần Trung tâm Văn hóa Thẻ thao Giải trí Hà Nội,80.000,3.740.647.826,(**),"1,00",,-,,-,(vi),,80000.0,3740647826.0,,1.0,,,,,
7,7,7,Công ty An Phong,12.600.000,1.798.671.140.000,(**),"98,00",,-,,-,(vii),,12600000.0,1798671140000.0,,98.0,,,,,
8,8,8,Công ty Riverview Đà Nẵng,(*),466.711.484.875,(*),"97,11",(*),202.195.496.150,(*),"97,11",(viii),,,466711484875.0,,97.11,,202195496150.0,,97.11,
9,9,9,Công ty Metropolis,(*),1.621.970.350.000,(*),"100,00",(*),1.621.970.350.000,(*),"100,00",,,,1621970350000.0,,100.0,,1621970350000.0,,100.0,
,,,TỔNG CỘNG,,10.843.374.892.100,,,,8.132.116.410.310,,,,,,10843374892100.0,,,,8132116410310.0,,,
