row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm(trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm(trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến các cănhộ chưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến các cănhộ chưa bàn giao,Chi phí bán hàng liên quan đến các cănhộ chưa bàn giao,63.207.073.295,-,63207073295.0,
Chi phí đầu tư các dự án,Ngắn hạn: > Chi phí đầu tư các dự án,Chi phí đầu tư các dự án,34.687.295.893,-,34687295893.0,
Chi phí lãi vay trả trước cho bên liên quan(Thuyết minh số 27),Ngắn hạn: > Chi phí lãi vay trả trước cho bên liên quan(Thuyết minh số 27),Chi phí lãi vay trả trước cho bên liên quan(Thuyết minh số 27),24.055.317.433,20.667.325.201,24055317433.0,20667325201.0
Thuế thu nhập doanh nghiệp trả trước,Ngắn hạn: > Thuế thu nhập doanh nghiệp trả trước,Thuế thu nhập doanh nghiệp trả trước,12.754.761.298,-,12754761298.0,
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,5.225.834.864,426.659.912,5225834864.0,426659912.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,139.930.282.783,21.093.985.113,139930282783.0,21093985113.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Chi phí tiền thuê đất trả trước,Dải hạn: > Chi phí tiền thuê đất trả trước,Chi phí tiền thuê đất trả trước,17.878.010.000,-,17878010000.0,
"Chi phí công cụ, dụng cụ","Dải hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",5.828.233.427,1.038.677.076,5828233427.0,1038677076.0
Chi phí phát hành trái phiếu và thu xếpcác khoản vay,Dải hạn: > Chi phí phát hành trái phiếu và thu xếpcác khoản vay,Chi phí phát hành trái phiếu và thu xếpcác khoản vay,-,11.592.017.469,,11592017469.0
Chi phí trả trước dài hạn khác,Dải hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,17.091.590.295,1.517.733.343,17091590295.0,1517733343.0
TỔNG CỘNG,Dải hạn: > TỔNG CỘNG,TỔNG CỘNG,40.797.833.722,14.148.427.888,40797833722.0,14148427888.0
