row_label_raw,row_label_full,Ngắn hạnĐặt cọc cho mục đích đầu tư (i)Cổ tức ưu đãi ứng trước cho cổ đông sở hữu cổ phần ưu đãiTài khoản phong quả cho mục đích góp vốn thành lập công ty conTài sản ngắn hạn khác,Số cuối năm > 1.264.976.298.547275.495.579.133-18.537.120,Đơn vị tính: VND Số đầu năm(trình bày lại) > 549.833.333.335178.528.032.7266.000.000.000600.435.682,numeric__Số cuối năm > 1.264.976.298.547275.495.579.133-18.537.120,numeric__Đơn vị tính: VND Số đầu năm(trình bày lại) > 549.833.333.335178.528.032.7266.000.000.000600.435.682
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.540.490.414.800,734.961.801.743,1540490414800.0,734961801743.0
Dài hạn:Đặt cọc cho mục đích đầu tư (ii),Dài hạn:Đặt cọc cho mục đích đầu tư (ii),Dài hạn:Đặt cọc cho mục đích đầu tư (ii),1.500.000.000.000,2.457.329.553.500,1500000000000.0,2457329553500.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.500.000.000.000,2.457.329.553.500,1500000000000.0,2457329553500.0
