row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,3.112.978.219.684,110.735.845.576,3112978219684.0,110735845576.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,2.874.818.018.841,-,2874818018841.0,
Doanh thu cung cấp dịch vụ tiếp thị vàquản lý trung tâm thương mại,Trong đó: > Doanh thu cung cấp dịch vụ tiếp thị vàquản lý trung tâm thương mại,Doanh thu cung cấp dịch vụ tiếp thị vàquản lý trung tâm thương mại,197.618.214.534,110.735.845.576,197618214534.0,110735845576.0
Doanh thu cho thuê bất động sản đầu tưvà cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tưvà cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tưvà cung cấp các dịch vụ liên quan,27.573.328.414,,27573328414.0,
Doanh thu cung cấp dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,12.968.657.895,-,12968657895.0,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,3.112.978.219.684,110.735.845.576,3112978219684.0,110735845576.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,2.905.468.618.412,-,2905468618412.0,
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,207.509.601.272,110.735.845.576,207509601272.0,110735845576.0
