row_label_raw,row_label_full,Năm trước > Số dư đầu năm,Vốn cổ phần đã phát hành > Năm trước > 9.303.800.000.000,Thặng dư vốn cổ phần > Năm trước > 9.329.000.000,Lỗ lũy kế (trình bày lại) > Năm trước > (88.616.548.322),Đơn vị tính: VND Tổng cộng > Năm trước > 9.224.512.451.678,numeric__Vốn cổ phần đã phát hành > Năm trước > 9.303.800.000.000,numeric__Thặng dư vốn cổ phần > Năm trước > 9.329.000.000,numeric__Lỗ lũy kế (trình bày lại) > Năm trước > (88.616.548.322),numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 9.224.512.451.678
- Cổ phần phát hành thêm,- Cổ phần phát hành thêm,- Cổ phần phát hành thêm,2.706.780.000.000,61.927.000.000,-,2.768.707.000.000,2706780000000.0,61927000000.0,,2768707000000.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,(326.852.915.152),(326.852.915.152),,,-326852915152.0,-326852915152.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,78.379.164.493,78.379.164.493,,,78379164493.0,78379164493.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,12.010.580.000.000,71.256.000.000,(337.090.298.981),11.744.745.701.019,12010580000000.0,71256000000.0,-337090298981.0,11744745701019.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,12.010.580.000.000,71.256.000.000,(337.090.298.981),11.744.745.701.019,12010580000000.0,71256000000.0,-337090298981.0,11744745701019.0
- Cổ phần phát hành thêm,Năm nay > - Cổ phần phát hành thêm,- Cổ phần phát hành thêm,2.152.567.470.000,-,-,2.152.567.470.000,2152567470000.0,,,2152567470000.0
- Tăng do sáp nhập (i),Năm nay > - Tăng do sáp nhập (i),- Tăng do sáp nhập (i),9.098.000.000,26.941.697.689,-,36.039.697.689,9098000000.0,26941697689.0,,36039697689.0
- Chia cổ tức (ii),Năm nay > - Chia cổ tức (ii),- Chia cổ tức (ii),,,(449.670.103.596),(449.670.103.596),,,-449670103596.0,-449670103596.0
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,325.637.408.648,325.637.408.648,,,325637408648.0,325637408648.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,14.172.245.470.000,98.197.697.689,(461.122.993.929),13.809.320.173.760,14172245470000.0,98197697689.0,-461122993929.0,13809320173760.0
