row_label_raw,row_label_full,Mã số 05. Lãi từ hoạt động đầu tư,Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư
Lãi từ thanh lý tài sản cố định,Lãi từ thanh lý tài sản cố định,Lãi từ thanh lý tài sản cố định,(60.304.251),-,-60304251.0,
Lãi từ thanh lý các khoản đầu tư,Lãi từ thanh lý các khoản đầu tư,Lãi từ thanh lý các khoản đầu tư,(692.497.390),-,-692497390.0,
"Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức",(1.122.677.041.596),(1.273.713.056.322),-1122677041596.0,-1273713056322.0
Tổng cộng,Tổng cộng,Tổng cộng,(1.123.429.843.237),(1.273.713.056.322),-1123429843237.0,-1273713056322.0
"Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,
"Tiền chỉ để mua sắm, xây dựng tài sản cố định, bất động sản đầu tư","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác > Tiền chỉ để mua sắm, xây dựng tài sản cố định, bất động sản đầu tư","Tiền chỉ để mua sắm, xây dựng tài sản cố định, bất động sản đầu tư",(407.616.026.360),-,-407616026360.0,
Tiền chỉ đầu tư vào các dự án bất động sản tiềm năng,"Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác > Tiền chỉ đầu tư vào các dự án bất động sản tiềm năng",Tiền chỉ đầu tư vào các dự án bất động sản tiềm năng,(774.313.411.712),(2.536.941.795.421),-774313411712.0,-2536941795421.0
Tổng cộng,"Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác > Tổng cộng",Tổng cộng,(1.181.929.438.072),(2.536.941.795.421),-1181929438072.0,-2536941795421.0
Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,,
Tiền chỉ đầu tư vào công ty con,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chỉ đầu tư vào công ty con,Tiền chỉ đầu tư vào công ty con,(4.561.915.164.551),(2.455.288.068.372),-4561915164551.0,-2455288068372.0
Tiền của các công ty được sáp nhập vào Công ty tại ngày sáp nhập,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền của các công ty được sáp nhập vào Công ty tại ngày sáp nhập,Tiền của các công ty được sáp nhập vào Công ty tại ngày sáp nhập,204.962.920.546,-,204962920546.0,
Tiền chi mua cổ phần/góp vốn vào các công ty khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chi mua cổ phần/góp vốn vào các công ty khác,Tiền chi mua cổ phần/góp vốn vào các công ty khác,-,(716.500.000.000),,-716500000000.0
Tổng cộng,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(4.356.952.244.005),(3.171.788.068.372),-4356952244005.0,-3171788068372.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
Tiền thu do nhượng bán các khoản đầu tư vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con,Tiền thu do nhượng bán các khoản đầu tư vào công ty con,6.099.600.000,-,6099600000.0,
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,605.302.896.515,-,605302896515.0,
Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,-,1.063.138.127.777,,1063138127777.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,-,4.480.000.000.000,,4480000000000.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,611.402.496.515,5.543.138.127.777,611402496515.0,5543138127777.0
