row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Đặt cọc và vay vốn đề đầu tư dự án bất động sản,Ngắn hạn: > Đặt cọc và vay vốn đề đầu tư dự án bất động sản,Đặt cọc và vay vốn đề đầu tư dự án bất động sản,265.222.126.749,-,265222126749.0,
Nhận đặt cọc đề chuyển nhượng khoản đầu tư,Ngắn hạn: > Nhận đặt cọc đề chuyển nhượng khoản đầu tư,Nhận đặt cọc đề chuyển nhượng khoản đầu tư,-,1.621.970.350.000,,1621970350000.0
Tiền quản lý tập trung phải trả các công ty con,Ngắn hạn: > Tiền quản lý tập trung phải trả các công ty con,Tiền quản lý tập trung phải trả các công ty con,102.730.660.188,-,102730660188.0,
"Thu, chi hộ phải trả","Ngắn hạn: > Thu, chi hộ phải trả","Thu, chi hộ phải trả",182.773.157.537,-,182773157537.0,
Phải trả cho hoạt động đầu tư cổ phần,Ngắn hạn: > Phải trả cho hoạt động đầu tư cổ phần,Phải trả cho hoạt động đầu tư cổ phần,630.901.140.000,4.490.000.000,630901140000.0,4490000000.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",76.491.604.572,2.074.836.618,76491604572.0,2074836618.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.258.118.689.046,1.628.535.186.618,1258118689046.0,1628535186618.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn cho các bên khác,Trong đó: > Phải trả ngắn hạn cho các bên khác,Phải trả ngắn hạn cho các bên khác,990.388.028.858,2.074.836.618,990388028858.0,2074836618.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 27),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 27),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 27),267.730.660.188,1.626.460.350.000,267730660188.0,1626460350000.0
Chi tiết các khoản phải trả dài hạn khác chiếm trên 10% tổng phải trả,Chi tiết các khoản phải trả dài hạn khác chiếm trên 10% tổng phải trả,Chi tiết các khoản phải trả dài hạn khác chiếm trên 10% tổng phải trả,,,,
Phải trả cá nhân đề nhận chuyển nhượng cổ phần,Chi tiết các khoản phải trả dài hạn khác chiếm trên 10% tổng phải trả > Phải trả cá nhân đề nhận chuyển nhượng cổ phần,Phải trả cá nhân đề nhận chuyển nhượng cổ phần,630.901.140.000,-,630901140000.0,
Phải trả Công ty An Phong,Chi tiết các khoản phải trả dài hạn khác chiếm trên 10% tổng phải trả > Phải trả Công ty An Phong,Phải trả Công ty An Phong,165.000.000.000,-,165000000000.0,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Các khoản đặt cọc từ khách hàng thuê mặt bằng trung tâm thương mại,Dài hạn: > Các khoản đặt cọc từ khách hàng thuê mặt bằng trung tâm thương mại,Các khoản đặt cọc từ khách hàng thuê mặt bằng trung tâm thương mại,59.770.659.510,-,59770659510.0,
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,59.770.659.510,-,59770659510.0,
