row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Đặt cọc cho mục đích đầu tư,Góp vốn/(nhận góp vốn),Vốn góp thừa phải thu,numeric__Mối quan hệ,numeric__Đặt cọc cho mục đích đầu tư,numeric__Góp vốn/(nhận góp vốn),numeric__Vốn góp thừa phải thu
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,(553.184.989.212),-,-,,-553184989212.0,,
Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty con,-,-,-,,,,
Warburg Pincus,Công ty BDS Viettronics > Warburg Pincus,Warburg Pincus,Cổ đông,-,(1.614.425.600.000),-,,,-1614425600000.0,
Credit Suisse,Công ty BDS Viettronics > Credit Suisse,Credit Suisse,Cổ đông,-,(538.141.870.000),-,,,-538141870000.0,
Công ty Vincom Retail Miền Nam,Công ty BDS Viettronics > Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,-,330.000.000.000,-,,,330000000000.0,
Công ty Vincom Center Hạ Long,Công ty BDS Viettronics > Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty con,-,44.000.000.000,-,,,44000000000.0,
Công ty Suối Hoa,Công ty BDS Viettronics > Công ty Suối Hoa,Công ty Suối Hoa,Công ty con,-,224.888.928.000,(107.720.000.000),,,224888928000.0,-107720000000.0
Công ty Ngôi Sao Xanh,Công ty BDS Viettronics > Công ty Ngôi Sao Xanh,Công ty Ngôi Sao Xanh,Công ty con,-,2.586.997.106.680,-,,,2586997106680.0,
Công ty An Phong,Công ty BDS Viettronics > Công ty An Phong,Công ty An Phong,Công ty con,-,1.798.671.140.000,-,,,1798671140000.0,
