row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,numeric__Thuyết minh,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,15.1,10.843.374.892.100,-,8.132.116.410.310,-,151.0,10843374892100.0,,8132116410310.0,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,15.2,3.311.388.888.887,-,3.311.388.888.887,-,152.0,3311388888887.0,,3311388888887.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,14.154.763.780.987,-,11.443.505.299.197,-,,14154763780987.0,,11443505299197.0,
