row_label_raw,row_label_full,Phải trả cho các bên liên quan(Thuyết minh số 27),Số cuối năm > 103.476.448.433,Đơn vị tính:VND > Số đầu năm > 1.668.435.609,numeric__Số cuối năm > 103.476.448.433,numeric__Đơn vị tính:VND > Số đầu năm > 1.668.435.609
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,38.655.177.751,1.043.782.451,38655177751.0,1043782451.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,142.131.626.184,2.712.218.060,142131626184.0,2712218060.0
