row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Cho vay,Thu hồi gốc vay,Lãi vay phải thu,Lãi vay đã thu,Cổ tức phải trả,Cổ tức đã trả,numeric__Mối quan hệ,numeric__Cho vay,numeric__Thu hồi gốc vay,numeric__Lãi vay phải thu,numeric__Lãi vay đã thu,numeric__Cổ tức phải trả,numeric__Cổ tức đã trả
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,38.000.000.000,(932.987.500.000),419.775.178.319,(369.602.951.137),-,-,,38000000000.0,-932987500000.0,419775178319.0,-369602951137.0,,
Công ty BĐS Viettronics,Công ty BĐS Viettronics,Công ty BĐS Viettronics,Công ty con,225.000.000.000,(2.528.130.705.432),-,-,-,-,,225000000000.0,-2528130705432.0,,,,
Công ty BĐS Hải Phòng,Công ty BĐS Hải Phòng,Công ty BĐS Hải Phòng,Công ty con,,(238.461.370.057),7.213.456.444,(9.491.237.054),-,-,,,-238461370057.0,7213456444.0,-9491237054.0,,
Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty con,137.000.000.000,(378.662.101.944),-,-,-,-,,137000000000.0,-378662101944.0,,,,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty cùng Tập đoàn,-,(210.000.000.000),6.900.833.333,(9.759.166.666),-,-,,,-210000000000.0,6900833333.0,-9759166666.0,,
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông,-,-,-,-,(409.978.240.000),409.978.240.000,,,,,,-409978240000.0,409978240000.0
Credit Suisse,Credit Suisse,Credit Suisse,Cổ đông,-,-,-,-,(136.659.410.000),136.659.410.000,,,,,,-136659410000.0,136659410000.0
