row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),Nội dung > Phải thu khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Nội dung > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1)
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,Phải thu khác,-,19.141.293,,,,19141293.0
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,Phí quản lý và hoa hồng phải thu,10.443.750.893,43.511.390.532,,,10443750893.0,43511390532.0
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,Phí quản lý và hoa hồng phải thu,3.240.146.188,4.855.067.168,,,3240146188.0,4855067168.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Phải thu cho thuê bất động sản,-,6.433.029.328,,,,6433029328.0
,,,,,13.683.897.081,54.818.628.321,,,13683897081.0,54818628321.0
Trả trước người bán (Thuyết minh số 6.2),Trả trước người bán (Thuyết minh số 6.2),Trả trước người bán (Thuyết minh số 6.2),Trả trước người bán (Thuyết minh số 6.2),Trả trước người bán (Thuyết minh số 6.2),Trả trước người bán (Thuyết minh số 6.2),Trả trước người bán (Thuyết minh số 6.2),,,,
Công ty Xây dựng Vincom 1,Trả trước người bán (Thuyết minh số 6.2) > Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty cùng Tập đoàn,Trả trước cho mục đích xây dựng,-,439.214.722.720,,,,439214722720.0
,,,,,-,439.214.722.720,,,,439214722720.0
