row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính:VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính:VND Số đầu năm
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,141.142.075.633,-,141142075633.0,
Phải thu từ cung cấp dịch vụ quản lý,Phải thu từ cung cấp dịch vụ quản lý,Phải thu từ cung cấp dịch vụ quản lý,62.648.772.298,13.683.897.081,62648772298.0,13683897081.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,9.905.550.649,-,9905550649.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,213.696.398.580,13.683.897.081,213696398580.0,13683897081.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,158.877.770.259,-,158877770259.0,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 27),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 27),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 27),54.818.628.321,13.683.897.081,54818628321.0,13683897081.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,,
Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,121.657.981.787,-,121657981787.0,
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,-,-,,
