row_label_raw,row_label_full,Bất động sản đầu tư,Tỷ đồng Việt Nam,numeric__Tỷ đồng Việt Nam
"Khu TTTM Vincom Long Xuyên, An Giang (Cấu phần TTTM)","Khu TTTM Vincom Long Xuyên, An Giang (Cấu phần TTTM)","Khu TTTM Vincom Long Xuyên, An Giang (Cấu phần TTTM)",236,236.0
Khu TTTM Vincom Nguyễn Chí Thanh (Cấu phần TTTM),Khu TTTM Vincom Nguyễn Chí Thanh (Cấu phần TTTM),Khu TTTM Vincom Nguyễn Chí Thanh (Cấu phần TTTM),3.066,3066.0
Tòa nhà Vincom Việt Trì,Tòa nhà Vincom Việt Trì,Tòa nhà Vincom Việt Trì,337,337.0
