row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Đi vay,Đi vay đã trả,Lãi vay phải trả,Lãi vay đã trả/trả trước,Cổ tức phải thu,Cổ tức đã thu,numeric__Mối quan hệ,numeric__Đi vay,numeric__Đi vay đã trả,numeric__Lãi vay phải trả,numeric__Lãi vay đã trả/trả trước,numeric__Cổ tức phải thu,numeric__Cổ tức đã thu
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,(1.815.000.000.000),877.058.333.333,(797.608.549.916),671.679.752.766,-,-,,-1815000000000.0,877058333333.0,-797608549916.0,671679752766.0,,
Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty BDS Viettronics,Công ty con,(558.832.222.222),558.832.222.222,(869.294.568),869.294.568,-,-,,-558832222222.0,558832222222.0,-869294568.0,869294568.0,,
Công ty Vincom Center,Công ty Vincom Center,Công ty Vincom Center,Công ty con,(55.000.000.000),255.000.000.000,(355.555.556),577.777.778,288.700.000.000,(255.000.000.000),,-55000000000.0,255000000000.0,-355555556.0,577777778.0,288700000000.0,-255000000000.0
Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,Bà Triệu,,,,,,,
Công ty VMM Royal City,Bà Triệu > Công ty VMM Royal City,Công ty VMM Royal City,Công ty con,(80.000.000.000),270.000.000.000,(1.212.777.778),1.423.888.889,69.600.000.000,(69.600.000.000),,-80000000000.0,270000000000.0,-1212777778.0,1423888889.0,69600000000.0,-69600000000.0
Công ty Vincom Center B TPHCM,Bà Triệu > Công ty Vincom Center B TPHCM,Công ty Vincom Center B TPHCM,Công ty con,-,100.000.000.000,(177.777.778),288.888.889,301.800.000.000,(301.800.000.000),,,100000000000.0,-177777778.0,288888889.0,301800000000.0,-301800000000.0
Công ty VMM Times City,Bà Triệu > Công ty VMM Times City,Công ty VMM Times City,Công ty con,(40.000.000.000),40.000.000.000,(456.944.444),456.944.444,49.200.000.000,(49.200.000.000),,-40000000000.0,40000000000.0,-456944444.0,456944444.0,49200000000.0,-49200000000.0
Công ty BDS Hải Phòng,Bà Triệu > Công ty BDS Hải Phòng,Công ty BDS Hải Phòng,Công ty con,(269.000.000.000),269.000.000.000,(2.306.888.889),2.306.888.889,-,-,,-269000000000.0,269000000000.0,-2306888889.0,2306888889.0,,
Công ty Vincom Center Hạ Long,Bà Triệu > Công ty Vincom Center Hạ Long,Công ty Vincom Center Hạ Long,Công ty con,(210.000.000.000),210.000.000.000,(2.409.166.667),2.409.166.667,-,-,,-210000000000.0,210000000000.0,-2409166667.0,2409166667.0,,
Warburg Pincus,Bà Triệu > Warburg Pincus,Warburg Pincus,Cổ đông,(43.884.375.000),,,27.016.220.662,,,,-43884375000.0,,,27016220662.0,,
