row_label_raw,row_label_full,Bà Vũ Tuyết Hằng > Bà Nguyễn Diệu Linh,Tổng Giám đốc,bổ nhiệm ngày 9 tháng 4 năm 2015 > miễn nhiệm ngày 9 tháng 4 năm 2015,numeric__Tổng Giám đốc,numeric__bổ nhiệm ngày 9 tháng 4 năm 2015 > miễn nhiệm ngày 9 tháng 4 năm 2015
Bà Trần Mai Hoa,Bà Trần Mai Hoa,Bà Trần Mai Hoa,Phó Tổng Giám Đốc,,,
Bà Hoàng Thị Mỹ Hạnh,Bà Hoàng Thị Mỹ Hạnh,Bà Hoàng Thị Mỹ Hạnh,Phó Tổng Giám Đốc,bổ nhiệm ngày 14 tháng 1 năm 2015,,
Bà Đình Hồng Minh,Bà Đình Hồng Minh,Bà Đình Hồng Minh,Phó Tổng Giám Đốc,,,
Bà Phạm Ngoc Thoa,Bà Phạm Ngoc Thoa,Bà Phạm Ngoc Thoa,Phó Tổng Giám Đốc,bổ nhiệm ngày 3 tháng 8 năm 2015,,
