row_label_raw,row_label_full,Bên liên quan > Phải trả người bán(Thuyết minh số 16.1),Mối quan hệ > Phải trả người bán(Thuyết minh số 16.1),Nội dung > Phải trả người bán(Thuyết minh số 16.1),Số đầu năm > Phải trả người bán(Thuyết minh số 16.1),Số cuối năm > Phải trả người bán(Thuyết minh số 16.1),numeric__Mối quan hệ > Phải trả người bán(Thuyết minh số 16.1),numeric__Nội dung > Phải trả người bán(Thuyết minh số 16.1),numeric__Số đầu năm > Phải trả người bán(Thuyết minh số 16.1),numeric__Số cuối năm > Phải trả người bán(Thuyết minh số 16.1)
Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Công ty mẹ,Phí quản lý và các dịch vụ khác phải trả,1.575.258.196,38.235.923.770,,,1575258196.0,38235923770.0
Công ty Metropolis,Công ty Metropolis,Công ty Metropolis,Công ty con,Phải trả do giảm phí quản lý,-,7.631.905.873,,,,7631905873.0
Công ty VincomRetail Miền Bắc,Công ty VincomRetail Miền Bắc,Công ty VincomRetail Miền Bắc,Công ty con,Phải trả khác,-,14.074.314.614,,,,14074314614.0
Công ty Vinhomes2,Công ty Vinhomes2,Công ty Vinhomes2,Công ty cùngTập đoàn,Phí dịch vụ bán kèmcăn hộ phải trả,-,17.725.428.268,,,,17725428268.0
Công ty Quản lýBĐS Vinhomes,Công ty Quản lýBĐS Vinhomes,Công ty Quản lýBĐS Vinhomes,Công ty cùngTập đoàn,Phí dịch vụ bán kèmcăn hộ phải trả,-,14.950.138.720,,,,14950138720.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty cùngTập đoàn,Phí dịch vụ phải trả,42.734.000,57.153.920,,,42734000.0,57153920.0
,,,,Phí dịch vụ bán kèmcăn hộ phải trả,-,7.695.600.000,,,,7695600000.0
Công tyVinAcademy,Công tyVinAcademy,Công tyVinAcademy,Công ty cùngTập đoàn,Phí dịch vụ phải trả,-,1.518.704.177,,,,1518704177.0
Các bên liên quankhác,Các bên liên quankhác,Các bên liên quankhác,Các công tycùng tậpđoàn,Phải trả khác,,,,,,
,,,,,50.443.413,1.587.279.091,,,50443413.0,1587279091.0
,,,,,1.668.435.609,103.476.448.433,,,1668435609.0,103476448433.0
Chi phí phải trả(Thuyết minh số 18),Chi phí phải trả(Thuyết minh số 18),Chi phí phải trả(Thuyết minh số 18),Chi phí phải trả(Thuyết minh số 18),Chi phí phải trả(Thuyết minh số 18),Chi phí phải trả(Thuyết minh số 18),Chi phí phải trả(Thuyết minh số 18),,,,
Tập đoàn Vingroup- Công ty CP,Chi phí phải trả(Thuyết minh số 18) > Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Công ty mẹ,Lãi vay phải trả,127.792.130.484,553.497.325.304,,,127792130484.0,553497325304.0
Công ty Xây dựngVincom 1,Chi phí phải trả(Thuyết minh số 18) > Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty cùngTập đoàn,Chi phí xây dựng phải trả,-,6.039.930.894,,,,6039930894.0
Công ty Bảo vệVincom,Chi phí phải trả(Thuyết minh số 18) > Công ty Bảo vệVincom,Công ty Bảo vệVincom,Công ty cùngTập đoàn,Phí dịch vụ bảo vệphải trả,2.580.000,-,,,2580000.0,
Công ty Quản lýBĐS Vinhomes,Chi phí phải trả(Thuyết minh số 18) > Công ty Quản lýBĐS Vinhomes,Công ty Quản lýBĐS Vinhomes,Công ty cùngTập đoàn,Phí dịch vụ bán kèmcăn hộ phải trả,-,70.431.827.118,,,,70431827118.0
Công ty Vinhomes2,Chi phí phải trả(Thuyết minh số 18) > Công ty Vinhomes2,Công ty Vinhomes2,Công ty cùngTập đoàn,Phí dịch vụ bán kèmcăn hộ phải trả,-,3.844.446.808,,,,3844446808.0
Công ty Trung tâmVăn hóa thể thaogiải trí Hà Nội,Chi phí phải trả(Thuyết minh số 18) > Công ty Trung tâmVăn hóa thể thaogiải trí Hà Nội,Công ty Trung tâmVăn hóa thể thaogiải trí Hà Nội,Công ty con,Lãi vay phải trả,-,586.250.000,,,,586250000.0
,,,,,127.794.710.484,634.399.780.124,,,127794710484.0,634399780124.0
Phải trả khác(Thuyết minh số 19),Phải trả khác(Thuyết minh số 19),Phải trả khác(Thuyết minh số 19),Phải trả khác(Thuyết minh số 19),Phải trả khác(Thuyết minh số 19),Phải trả khác(Thuyết minh số 19),Phải trả khác(Thuyết minh số 19),,,,
