row_label_raw,row_label_full,Ông Dương Mạnh Sơn,Chủ tịch,numeric__Chủ tịch
Ông Hoàng Văn Quang,Ông Hoàng Văn Quang,Ông Hoàng Văn Quang,Thành viên,
Ông Triệu Quốc Tuấn,Ông Triệu Quốc Tuấn,Ông Triệu Quốc Tuấn,Thành viên,
Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Thành viên,
Ông Trương Hồng Sơn,Ông Trương Hồng Sơn,Ông Trương Hồng Sơn,Thành viên,
Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Thành viên,
