row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,286.158.172.000,214.011.659.729,2.272.066.077,502.441.897.806,286158172000.0,214011659729.0,2272066077.0,502441897806.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,10.119.849.000,-,10.119.849.000,,10119849000.0,,10119849000.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),-,19.616.192.364,-,19.616.192.364,,19616192364.0,,19616192364.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.103.159.091),-,(1.103.159.091),,-1103159091.0,,-1103159091.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,286.158.172.000,242.644.542.002,2.272.066.077,531.074.780.079,286158172000.0,242644542002.0,2272066077.0,531074780079.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,4.371.145.093,154.643.020.679,899.359.491,159.913.525.263,4371145093.0,154643020679.0,899359491.0,159913525263.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,332.944.764,44.384.972.387,610.091.820,45.328.008.971,332944764.0,44384972387.0,610091820.0,45328008971.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(1.103.159.091),-,(1.103.159.091),,-1103159091.0,,-1103159091.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,4.704.089.857,197.924.833.975,1.509.451.311,204.138.375.143,4704089857.0,197924833975.0,1509451311.0,204138375143.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,281.787.026.907,59.368.639.050,1.372.706.586,342.528.372.543,281787026907.0,59368639050.0,1372706586.0,342528372543.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,281.454.082.143,44.719.708.027,762.614.766,326.936.404.936,281454082143.0,44719708027.0,762614766.0,326936404936.0
