row_label_raw,row_label_full,col_0,2022VND,2021VND,numeric__2022VND,numeric__2021VND
Chi phí mua khí từ các chủ mỏ,Chi phí mua khí từ các chủ mỏ,Chi phí mua khí từ các chủ mỏ,41.435.096.581.708,33.524.289.068.643,41435096581708.0,33524289068643.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,2.818.145.942.458,2.927.012.109.125,2818145942458.0,2927012109125.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,1.262.342.635.383,1.067.622.399.022,1262342635383.0,1067622399022.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,1.073.590.640.127,939.054.367.548,1073590640127.0,939054367548.0
"Chi phí quảng cáo, tiếp thị","Chi phí quảng cáo, tiếp thị","Chi phí quảng cáo, tiếp thị",498.642.545.503,378.637.836.448,498642545503.0,378637836448.0
Chi phí dự phòng thu dọn công trình khí,Chi phí dự phòng thu dọn công trình khí,Chi phí dự phòng thu dọn công trình khí,292.820.490.767,317.354.795.251,292820490767.0,317354795251.0
Chi phí nhân hiệu,Chi phí nhân hiệu,Chi phí nhân hiệu,107.958.386.671,247.814.848.046,107958386671.0,247814848046.0
Chi phí dự phòng phải thu khó đòi,Chi phí dự phòng phải thu khó đòi,Chi phí dự phòng phải thu khó đòi,81.862.608.782,368.431.711.619,81862608782.0,368431711619.0
Khác,Khác,Khác,694.370.792.479,706.351.326.302,694370792479.0,706351326302.0
,,,48.264.830.623.878,40.476.568.462.004,48264830623878.0,40476568462004.0
