row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2021,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Quỹ đầu tư và phát triển VND > 18.597.253.148.710,LNST chưa phân phối lũy kế của các năm trước VND > 2.905.346.322.001,LNST chưa phân phối năm nay VND > 7.933.611.318.695,Tổng cộng VND > 48.786.390.330.703,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Quỹ đầu tư và phát triển VND > 18.597.253.148.710,numeric__LNST chưa phân phối lũy kế của các năm trước VND > 2.905.346.322.001,numeric__LNST chưa phân phối năm nay VND > 7.933.611.318.695,numeric__Tổng cộng VND > 48.786.390.330.703
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,7.933.611.318.695,(7.933.611.318.695),-,,,,7933611318695.0,-7933611318695.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.593.226.953.290,8.593.226.953.290,,,,,8593226953290.0,8593226953290.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,2.194.300.000.000,(2.194.300.000.000),-,-,,,2194300000000.0,-2194300000000.0,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,(148.640.428.340),(140.806.595.361),(289.447.023.701),,,,-148640428340.0,-140806595361.0,-289447023701.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(5.741.850.000.000),-,(5.741.850.000.000),,,,-5741850000000.0,,-5741850000000.0
Khác,Khác,Khác,-,-,-,10.747.542.270,6.827.183.169,17.574.725.439,,,,10747542270.0,6827183169.0,17574725439.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,19.139.500.000.000,210.679.541.297,20.791.553.148.710,2.764.914.754.626,8.459.247.541.098,51.365.894.985.731,19139500000000.0,210679541297.0,20791553148710.0,2764914754626.0,8459247541098.0,51365894985731.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,8.459.247.541.098,(8.459.247.541.098),-,,,,8459247541098.0,-8459247541098.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,14.594.849.807.448,14.594.849.807.448,,,,,14594849807448.0,14594849807448.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)",-,-,-,(154.701.968.217),(146.439.569.883),(301.141.538.100),,,,-154701968217.0,-146439569883.0,-301141538100.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(5.741.850.000.000),-,(5.741.850.000.000),,,,-5741850000000.0,,-5741850000000.0
Khác,Khác,Khác,-,-,-,19.578.830.670,-,19.578.830.670,,,,19578830670.0,,19578830670.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,19.139.500.000.000,210.679.541.297,20.791.553.148.710,5.347.189.158.177,14.448.410.237.565,59.937.332.085.749,19139500000000.0,210679541297.0,20791553148710.0,5347189158177.0,14448410237565.0,59937332085749.0
