row_label_raw,row_label_full,Công ty Cổ phần Phân phối Khí thấp áp,Công ty Cổ phần Phân phối Khí thấp áp_1,Công ty Cổ phần Phân phối Khí thấp áp_2,numeric__Công ty Cổ phần Phân phối Khí thấp áp_1,numeric__Công ty Cổ phần Phân phối Khí thấp áp_2
Dầu khí Việt Nam,Dầu khí Việt Nam,Dầu khí Việt Nam,113.625.000.000,90.900.000.000,113625000000.0,90900000000.0
Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,30.240.000.000,30.240.000.000,30240000000.0,30240000000.0
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,26.447.368.500,17.631.579.000,26447368500.0,17631579000.0
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,5.618.034.300,-,5618034300.0,
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,-,11.434.000.000,,11434000000.0
