row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,Công ty mẹ,
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty con,
Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty con,
Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Công ty con,
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty con,
Công ty Cổ phần Phân phối Khí tháp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí tháp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí tháp áp Dầu khí Việt Nam,Công ty con,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty con,
Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty con,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty liên k,
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty liên k,
