row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàcác thiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàcác thiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,5.459.164.540.993,1.347.716.820.758,260.685.960.077,361.125.122.493,44.060.252.691.039,51.488.945.135.360,5459164540993.0,1347716820758.0,260685960077.0,361125122493.0,44060252691039.0,51488945135360.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,20.211.102.409,29.191.182.020,4.378.560.182,45.370.856.859,23.064.842.683,122.216.544.153,20211102409.0,29191182020.0,4378560182.0,45370856859.0,23064842683.0,122216544153.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),1.368.352.558,41.230.000,10.465.648.566,38.500.000,959.941.407.412,971.855.138.536,1368352558.0,41230000.0,10465648566.0,38500000.0,959941407412.0,971855138536.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.140.134.993),(2.079.478.034),(1.979.141.311),(3.268.629.959),(1.743.907.894),(14.211.292.191),-5140134993.0,-2079478034.0,-1979141311.0,-3268629959.0,-1743907894.0,-14211292191.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.475.603.860.967,1.374.869.754.744,273.551.027.514,403.265.849.393,45.041.515.033.240,52.568.805.525.858,5475603860967.0,1374869754744.0,273551027514.0,403265849393.0,45041515033240.0,52568805525858.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,4.239.156.528.128,887.998.482.241,160.681.385.523,309.813.702.277,29.741.682.094.557,35.339.332.192.726,4239156528128.0,887998482241.0,160681385523.0,309813702277.0,29741682094557.0,35339332192726.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,354.880.424.418,104.574.114.685,15.604.387.059,38.938.294.258,2.258.820.713.067,2.772.817.933.487,354880424418.0,104574114685.0,15604387059.0,38938294258.0,2258820713067.0,2772817933487.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(5.140.134.993),(2.079.478.034),(1.979.141.311),(3.236.229.617),(1.743.907.894),(14.178.891.849),-5140134993.0,-2079478034.0,-1979141311.0,-3236229617.0,-1743907894.0,-14178891849.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,4.588.896.817.553,990.493.118.892,174.306.631.271,345.515.766.918,31.998.758.899.730,38.097.971.234.364,4588896817553.0,990493118892.0,174306631271.0,345515766918.0,31998758899730.0,38097971234364.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,1.220.008.012.865,459.718.338.517,100.004.574.554,51.311.420.216,14.318.570.596.482,16.149.612.942.634,1220008012865.0,459718338517.0,100004574554.0,51311420216.0,14318570596482.0,16149612942634.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,886.707.043.414,384.376.635.852,99.244.396.243,57.750.082.475,13.042.756.133.510,14.470.834.291.494,886707043414.0,384376635852.0,99244396243.0,57750082475.0,13042756133510.0,14470834291494.0
