row_label_raw,row_label_full,Công ty mẹ,Công ty mẹ_1,Công ty mẹ_2,numeric__Công ty mẹ_1,numeric__Công ty mẹ_2
Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,22.479.004.198.083,19.334.243.880.566,22479004198083.0,19334243880566.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Các công ty con > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,12.337.936.955,-,12337936955.0,
Công ty Cổ phần Kinh doanh LPG Việt Nam,Các công ty con > Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,1.257.895.715,1.122.436.088,1257895715.0,1122436088.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,9.134.558.088,7.149.998.201,9134558088.0,7149998201.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Lộc hóa dầu Bình Sơn,Các bên liên quan khác > Công ty Cổ phần Lộc hóa dầu Bình Sơn,Công ty Cổ phần Lộc hóa dầu Bình Sơn,5.894.643.710.815,4.824.180.777.369,5894643710815.0,4824180777369.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,1.182.513.634.379,957.127.647.625,1182513634379.0,957127647625.0
Liên doanh Việt - Nga Vietsovpetro,Các bên liên quan khác > Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,857.095.565.385,578.471.371.817,857095565385.0,578471371817.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,628.261.258.904,750.523.724.293,628261258904.0,750523724293.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Các bên liên quan khác > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,491.097.816.546,606.553.271.354,491097816546.0,606553271354.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,111.745.329.766,118.219.664.639,111745329766.0,118219664639.0
Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,41.340.639.204,23.627.259.764,41340639204.0,23627259764.0
Trường Cao đẳng Dầu khí,Các bên liên quan khác > Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,38.731.392.000,4.176.609.400,38731392000.0,4176609400.0
Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Các bên liên quan khác > Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,23.976.877.698,-,23976877698.0,
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Các bên liên quan khác > Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,20.229.764.564,9.057.540.883,20229764564.0,9057540883.0
Tổng Công ty Dầu Việt Nam - CTCP,Các bên liên quan khác > Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,7.648.743.299,5.121.949.324,7648743299.0,5121949324.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,6.386.422.706,10.603.351.227,6386422706.0,10603351227.0
Viện Dầu khí Việt Nam,Các bên liên quan khác > Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,2.635.626.517,10.329.089.652,2635626517.0,10329089652.0
