row_label_raw,row_label_full,col_0,2022,2022_1,2021,2021_1,numeric__2022,numeric__2022_1,numeric__2021,numeric__2021_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang di đường,Hàng mua đang di đường,Hàng mua đang di đường,2.143.183.034.995,-,483.695.674.196,-,2143183034995.0,,483695674196.0,
"Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế",668.765.677.344,(53.952.719.217),639.587.021.965,(60.319.813.521),668765677344.0,-53952719217.0,639587021965.0,-60319813521.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,75.008.487.574,-,63.202.479.699,-,75008487574.0,,63202479699.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",3.935.796.443,-,6.366.724.710,-,3935796443.0,,6366724710.0,
Chi phí SXKD dở dang,Chi phí SXKD dở dang,Chi phí SXKD dở dang,-,-,2.628.750.986,-,,,2628750986.0,
Thành phẩm,Thành phẩm,Thành phẩm,142.844.118.947,-,94.200.262.996,-,142844118947.0,,94200262996.0,
Hàng hóa,Hàng hóa,Hàng hóa,710.370.724.080,-,1.525.613.419.247,-,710370724080.0,,1525613419247.0,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,74.614.199.643,-,62.264.607.724,-,74614199643.0,,62264607724.0,
,,,3.818.722.039.026,(53.952.719.217),2.877.558.941.523,(60.319.813.521),3818722039026.0,-53952719217.0,2877558941523.0,-60319813521.0
