row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,2022VND,2021VND,,
Doanh thu,Doanh thu,Doanh thu,91.195.553.170,81.693.350.651,91195553170.0,81693350651.0
Giá vốn,Giá vốn,Giá vốn,(46.074.305.347),(44.667.729.865),-46074305347.0,-44667729865.0
Chi phí khác,Chi phí khác,Chi phí khác,(1.057.033.513),(2.531.717.777),-1057033513.0,-2531717777.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,(14.479.151.294),(12.040.675.612),-14479151294.0,-12040675612.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,29.585.063.016,22.453.227.397,29585063016.0,22453227397.0
Thuế GTGT bổ sung,Thuế GTGT bổ sung,Thuế GTGT bổ sung,(2.570.947.504),-,-2570947504.0,
Lợi nhuận được chia,Lợi nhuận được chia,Lợi nhuận được chia,27.014.115.512,22.453.227.397,27014115512.0,22453227397.0
Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,Phân chia theo tỷ lệ góp vốn:,,
- Tổng Công ty,Phân chia theo tỷ lệ góp vốn: > - Tổng Công ty,- Tổng Công ty,23.659.919.186,16.543.732.047,23659919186.0,16543732047.0
- Tổng Công ty Tư vấn Thiết kế Dầu khí -Công ty Cổ phần,Phân chia theo tỷ lệ góp vốn: > - Tổng Công ty Tư vấn Thiết kế Dầu khí -Công ty Cổ phần,- Tổng Công ty Tư vấn Thiết kế Dầu khí -Công ty Cổ phần,1.468.432.987,3.627.490.609,1468432987.0,3627490609.0
- Công ty Cổ phần Địa ốc Phú Long,Phân chia theo tỷ lệ góp vốn: > - Công ty Cổ phần Địa ốc Phú Long,- Công ty Cổ phần Địa ốc Phú Long,1.885.763.339,2.282.004.741,1885763339.0,2282004741.0
