row_label_raw,row_label_full,Hội đồng Quản trị (Bao gồm Tổng Giám đốc),10.267.910.670,10.255.106.361,numeric__10.267.910.670,numeric__10.255.106.361
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,3.982.361.474,3.457.120.022,3982361474.0,3457120022.0
Các Phó Tổng Giám đốc và Kế toán trường,Các Phó Tổng Giám đốc và Kế toán trường,Các Phó Tổng Giám đốc và Kế toán trường,9.540.723.336,7.744.587.220,9540723336.0,7744587220.0
