row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 14),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 14),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 14),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 14),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 14),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 14),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 14)
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,"Phải trả phí tư vấn, khảo sát",4.438.908.000,4.745.613.171,,4438908000.0,4745613171.0
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,"Phải trả phí tư vấn, khảo sát",2.561.844.320,1.061.202.907,,2561844320.0,1061202907.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,7.000.752.320,5.806.816.078,,7000752320.0,5806816078.0
Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),,,
Tổng Công ty Phát điện 1,Phải trả ngắn hạn khác (Thuyết minh số 17) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải trả cổ tức và thu hộ chi hộ,506.972.330.802,844.208.640.000,,506972330802.0,844208640000.0
Tập đoàn Điện lực Việt Nam,Phải trả ngắn hạn khác (Thuyết minh số 17) > Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Mua dịch vụ,448.610.802,479.963.517,,448610802.0,479963517.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 17) > TỔNG CỘNG,TỔNG CỘNG,,507.420.941.604,844.688.603.517,,507420941604.0,844688603517.0
