row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Năm nay > 865.920.000.000,Đơn vị tính: VND > Năm trước > 2.280.960.000.000,numeric__Năm nay > 865.920.000.000,numeric__Đơn vị tính: VND > Năm trước > 2.280.960.000.000
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,,,
Tạm ứng cổ tức bằng tiền cho năm 2024:1.200 VND/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Tạm ứng cổ tức bằng tiền cho năm 2024:1.200 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2024:1.200 VND/cổ phiếu,506.880.000.000,-,506880000000.0,
Cổ tức bằng tiền cho năm 2023: 850 VND/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền cho năm 2023: 850 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: 850 VND/cổ phiếu,359.040.000.000,-,359040000000.0,
Tạm ứng cổ tức bằng tiền cho năm 2023:2.000 VND/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Tạm ứng cổ tức bằng tiền cho năm 2023:2.000 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2023:2.000 VND/cổ phiếu,-,844.800.000.000,,844800000000.0
Cổ tức bằng tiền cho năm 2022: 3.400VND/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền cho năm 2022: 3.400VND/cổ phiếu,Cổ tức bằng tiền cho năm 2022: 3.400VND/cổ phiếu,-,1.436.160.000.000,,1436160000000.0
Cổ tức đã trả trong năm,Cổ tức trên cổ phiếu phổ thông > Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,1.203.840.000.000,1.436.160.000.000,1203840000000.0,1436160000000.0
Cổ tức bằng tiền cho năm 2023: 2.850VND/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền cho năm 2023: 2.850VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: 2.850VND/cổ phiếu,1.203.840.000.000,-,1203840000000.0,
Cổ tức bằng tiền cho năm 2022: 3.400VND/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền cho năm 2022: 3.400VND/cổ phiếu,Cổ tức bằng tiền cho năm 2022: 3.400VND/cổ phiếu,-,1.436.160.000.000,,1436160000000.0
Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày31 tháng 12,Cổ tức trên cổ phiếu phổ thông > Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày31 tháng 12,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày31 tháng 12,84.480.000.000,168.960.000.000,84480000000.0,168960000000.0
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông > Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,84.480.000.000,168.960.000.000,84480000000.0,168960000000.0
