row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 924.278.523,Số phải nộp trong năm > 166.561.773.012,Số đã nộp trong năm > (158.099.490.189),Đơn vị tính: VND Số cuối năm > 9.386.561.346,numeric__Số đầu năm > 924.278.523,numeric__Số phải nộp trong năm > 166.561.773.012,numeric__Số đã nộp trong năm > (158.099.490.189),numeric__Đơn vị tính: VND Số cuối năm > 9.386.561.346
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,84.076.685.896,198.580.691.249,(171.051.772.541),111.605.604.604,84076685896.0,198580691249.0,-171051772541.0,111605604604.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.009.235.975,18.129.813.097,(15.755.599.406),3.383.449.666,1009235975.0,18129813097.0,-15755599406.0,3383449666.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,21.459.066.723,276.658.421.329,(273.934.189.390),24.183.298.662,21459066723.0,276658421329.0,-273934189390.0,24183298662.0
Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,28.117.455.084,98.924.663.604,(98.749.419.996),28.292.698.692,28117455084.0,98924663604.0,-98749419996.0,28292698692.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,135.586.722.201,758.855.362.291,(717.590.471.522),176.851.612.970,135586722201.0,758855362291.0,-717590471522.0,176851612970.0
