row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty Mua bán điện - Bán điệnTập đoàn Điện lựcViệt NamTổng Công ty Điện lực Miền Nam,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty Mua bán điện - Bán điệnTập đoàn Điện lựcViệt NamTổng Công ty Điện lực Miền Nam,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 857.336.249.992 > 11.452.956.462,Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 1.167.567.968.808 > 9.863.611.087,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty Mua bán điện - Bán điệnTập đoàn Điện lựcViệt NamTổng Công ty Điện lực Miền Nam,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 857.336.249.992 > 11.452.956.462,numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 1.167.567.968.808 > 9.863.611.087
TOTAL,TOTAL,TOTAL,TOTAL,868.789.206.454,1.177.431.579.895,,868789206454.0,1177431579895.0
Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),,,
Tổng Công ty Phát điện 1,Phải thu về cho vay (Chỉ tiêu số 135 và 215) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải thu cho vay ngắn hạn,-,200.000.000.000,,,200000000000.0
Tổng Công ty Phát điện 1,Phải thu về cho vay (Chỉ tiêu số 135 và 215) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải thu cho vay dài hạn,-,599.932.824.894,,,599932824894.0
TỔNG CỘNG,Phải thu về cho vay (Chỉ tiêu số 135 và 215) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,799.932.824.894,,,799932824894.0
Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),,,
Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Cổ tức được chia,10.000.000.000,-,,10000000000.0,
Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Cổ tức được chia,1.289.534.500,5.403.149.555,,1289534500.0,5403149555.0
Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Cổ tức được chia,640.000.000,-,,640000000.0,
Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Công ty Cổ phần Phong điện Thuận BìnhCông ty Cổ phần Thủy điện A VươngCông ty Cổ phần Thủy điện Sống Ba HạTổng Công ty Phát điện 1,Phải thu lãi cho vay,-,37.220.433.103,,,37220433103.0
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.929.534.500,42.623.582.658,,11929534500.0,42623582658.0
