row_label_raw,row_label_full,Phải thu bên liên quan (Thuyết minh số 27),Đơn vị tính: VND > Số cuối năm > 868.789.206.454,Đơn vị tính: VND > Số đầu năm > 1.177.431.579.895,numeric__Đơn vị tính: VND > Số cuối năm > 868.789.206.454,numeric__Đơn vị tính: VND > Số đầu năm > 1.177.431.579.895
Phải thu từ khách hàng khác,Phải thu từ khách hàng khác,Phải thu từ khách hàng khác,2.810.883.967,3.549.320.292,2810883967.0,3549320292.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,871.600.090.421,1.180.980.900.187,871600090421.0,1180980900187.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(2.337.623.033),(2.020.213.695),-2337623033.0,-2020213695.0
