row_label_raw,row_label_full,Năm trước > Số đầu năm (phân loại lại) > - Lợi nhuận trong năm,Vốn cổ phần > Năm trước > 4.224.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 519.620.626.722 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.692.019.990.664 > 1.123.173.498.184,Lợi ích của cổ đông không kiểm soát > Năm trước > 57.237.423.869 > 6.024.787.790,Đơn vị tính: VND Tổng cộng > Năm trước > 6.492.878.041.255 > 1.129.198.285.974,numeric__Vốn cổ phần > Năm trước > 4.224.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 519.620.626.722 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.692.019.990.664 > 1.123.173.498.184,numeric__Lợi ích của cổ đông không kiểm soát > Năm trước > 57.237.423.869 > 6.024.787.790,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 6.492.878.041.255 > 1.129.198.285.974
- Cổ tức đã công bố,- Cổ tức đã công bố,- Cổ tức đã công bố,-,-,(2.280.960.000.000),(4.800.000.000),(2.285.760.000.000),,,-2280960000000.0,-4800000000.0,-2285760000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,(52.748.418.800),(428.791.200),(53.177.210.000),,,-52748418800.0,-428791200.0,-53177210000.0
- Hoàn nhập quỹ đầu tư phát triển,- Hoàn nhập quỹ đầu tư phát triển,- Hoàn nhập quỹ đầu tư phát triển,-,(19.000.000.000),19.000.000.000,-,-,,-19000000000.0,19000000000.0,,
Số cuối năm,Số cuối năm,Số cuối năm,4.224.000.000.000,500.620.626.722,500.485.070.048,58.033.420.459,5.283.139.117.229,4224000000000.0,500620626722.0,500485070048.0,58033420459.0,5283139117229.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm (phân loại lại),Năm nay > Số đầu năm (phân loại lại),Số đầu năm (phân loại lại),4.224.000.000.000,500.620.626.722,500.485.070.048,58.033.420.459,5.283.139.117.229,4224000000000.0,500620626722.0,500485070048.0,58033420459.0,5283139117229.0
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,902.759.179.555,3.514.406.330,906.273.585.885,,,902759179555.0,3514406330.0,906273585885.0
- Cổ tức đã công bố (i) & (ii),Năm nay > - Cổ tức đã công bố (i) & (ii),- Cổ tức đã công bố (i) & (ii),-,-,(865.920.000.000),(4.800.000.000),(870.720.000.000),,,-865920000000.0,-4800000000.0,-870720000000.0
- Trích quỹ khen thưởng phúc lợi (i),Năm nay > - Trích quỹ khen thưởng phúc lợi (i),- Trích quỹ khen thưởng phúc lợi (i),-,-,(53.203.630.409),(221.710.837),(53.425.341.246),,,-53203630409.0,-221710837.0,-53425341246.0
- Trích quỹ đầu tư phát triển (i),Năm nay > - Trích quỹ đầu tư phát triển (i),- Trích quỹ đầu tư phát triển (i),-,560.000.000,(560.000.000),-,-,,560000000.0,-560000000.0,,
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.224.000.000.000,501.180.626.722,483.560.619.194,56.526.115.952,5.265.267.361.868,4224000000000.0,501180626722.0,483560619194.0,56526115952.0,5265267361868.0
