row_label_raw,row_label_full,Bên liên quan > Tập đoàn Điện lực Việt Nam > Tổng Công ty Điện lực Miền Nam,Nội dung nghiệp vụ > Mua dịch vụ > Doanh thu về phát điện,Năm nay > 4.143.032.782 > 73.791.480.827,Đơn vị tính: VNDNăm trước > 5.436.994.559 > 85.837.992.591,numeric__Nội dung nghiệp vụ > Mua dịch vụ > Doanh thu về phát điện,numeric__Năm nay > 4.143.032.782 > 73.791.480.827,numeric__Đơn vị tính: VNDNăm trước > 5.436.994.559 > 85.837.992.591
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Chi trả cổ tứcChia cổ tứcThu tiền cho vayLãi cho vay,1.202.993.835.000865.311.355.000799.932.824.89428.539.825.564,844.206.200.0002.279.356.740.000-71.154.024.775,,1.2029938350008654e+47,
Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Doanh thu về phát điện,2.004.452.607.641,2.283.967.798.273,,2004452607641.0,2283967798273.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Cổ tức được chiaNhận cổ tức,18.025.113.24122.138.728.296,24.668.794.98519.265.645.430,,1.8025113241221388e+21,2.4668794985192657e+21
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Cổ tức được chiaCổ tức đã nhận,6.816.000.0006.816.000.000,6.969.600.0006.969.600.000,,6.8160000006816e+19,6.96960000069696e+19
