row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm,Năm 2019VND > 20.652.822.726 > 6.776.000.000,Năm 2018VND > 12.323.237.710 > 12.185.680.116,numeric__Năm 2019VND > 20.652.822.726 > 6.776.000.000,numeric__Năm 2018VND > 12.323.237.710 > 12.185.680.116
Tăng khác,Tăng khác,Tăng khác,32.125.000,36.580.000,32125000.0,36580000.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(5.716.571.000),(3.892.675.100),-5716571000.0,-3892675100.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,21.744.376.726,20.652.822.726,21744376726.0,20652822726.0
