row_label_raw,row_label_full,col_0,Tại ngày31/12/2019VND,Tại ngày01/01/2019VND,numeric__Tại ngày31/12/2019VND,numeric__Tại ngày01/01/2019VND
Phải thu dài hạn khác - Xem thêm mục 4.4:,Phải thu dài hạn khác - Xem thêm mục 4.4:,Phải thu dài hạn khác - Xem thêm mục 4.4:,Phải thu dài hạn khác - Xem thêm mục 4.4:,Phải thu dài hạn khác - Xem thêm mục 4.4:,,
Công ty Cổ phần Sonadezi Giang Điền,Phải thu dài hạn khác - Xem thêm mục 4.4: > Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,1.031.515.500,1.031.515.500,1031515500.0,1031515500.0
Phải trả người bán ngắn hạn - Xem thêm mục 4.12:,Phải trả người bán ngắn hạn - Xem thêm mục 4.12:,Phải trả người bán ngắn hạn - Xem thêm mục 4.12:,Phải trả người bán ngắn hạn - Xem thêm mục 4.12:,Phải trả người bán ngắn hạn - Xem thêm mục 4.12:,,
Công ty Cổ phần Sonadezi Giang Điền,Phải trả người bán ngắn hạn - Xem thêm mục 4.12: > Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,38.648.900,648.648.000,38648900.0,648648000.0
Công ty Cổ phần Dịch vụ Sonadezi,Phải trả người bán ngắn hạn - Xem thêm mục 4.12: > Công ty Cổ phần Dịch vụ Sonadezi,Công ty Cổ phần Dịch vụ Sonadezi,152.109.530,135.258.620,152109530.0,135258620.0
Công ty TNHH Tiên Triết,Phải trả người bán ngắn hạn - Xem thêm mục 4.12: > Công ty TNHH Tiên Triết,Công ty TNHH Tiên Triết,1.832.357.519,1.987.186.762,1832357519.0,1987186762.0
Cộng,Phải trả người bán ngắn hạn - Xem thêm mục 4.12: > Cộng,Cộng,2.023.115.949,2.771.093.382,2023115949.0,2771093382.0
Phải trả dài hạn khác - Xem thêm mục 4.15:,Phải trả dài hạn khác - Xem thêm mục 4.15:,Phải trả dài hạn khác - Xem thêm mục 4.15:,Phải trả dài hạn khác - Xem thêm mục 4.15:,Phải trả dài hạn khác - Xem thêm mục 4.15:,,
Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Phải trả dài hạn khác - Xem thêm mục 4.15: > Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,11.200.000.000,11.200.000.000,11200000000.0,11200000000.0
Công ty Cổ phần Sonadezi An Bình,Phải trả dài hạn khác - Xem thêm mục 4.15: > Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,22.400.000.000,22.400.000.000,22400000000.0,22400000000.0
Cộng,Phải trả dài hạn khác - Xem thêm mục 4.15: > Cộng,Cộng,33.600.000.000,33.600.000.000,33600000000.0,33600000000.0
