row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_4
STT,STT,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ vốn góp,,,,
Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,Công ty con gián tiếp:,,,,
1.,Công ty con gián tiếp: > 1.,1.,Công ty Cổ phần Sonadezi An Bình,"Số 113 -116, Lô C2, Đường 9, Khu dân cưAn Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp, xây dựng công trình","37,95%",,,,0.3795
2.,Công ty con gián tiếp: > 2.,2.,Công ty Cổ phần Dịch vụ Sonadezi,"Tầng 8, Tòa nhà Sonadezi, Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình,TP. Biên Hòa, Tĩnh Đồng Nai","Xử lý nước thải, chất thải nguy hại và không nguy hại","20,00%",,,,0.2
3.,Công ty con gián tiếp: > 3.,3.,Công ty Cổ phần Sonadezi Châu Đức,"Tầng 9, Tòa nhà Sonadezi, Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa,Tĩnh Đồng Nai","Đầu tư hạ tầng khu công nghiệp, cụm công nghiệp, khu dân cư","46,84%",,,,0.46840000000000004
4.,Công ty con gián tiếp: > 4.,4.,Công ty Cổ phần Sonadezi Long Bình,"Số 1, Đường 3A, KCN Biên Hòa 2,TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp","46,22%",,,,0.4622
Công ty liên kết:,Công ty liên kết:,Công ty liên kết:,Công ty liên kết:,Công ty liên kết:,Công ty liên kết:,Công ty liên kết:,,,,
1.,Công ty liên kết: > 1.,1.,Công ty Cổ phần Xây dựng Đồng Nai,"9 Huỳnh Văn Nghệ, P. Bửu Long,TP. Biên Hòa,Tĩnh Đồng Nai",Xây dựng công trình,"40,00%",,,,0.4
2.,Công ty liên kết: > 2.,2.,Công ty Cổ phần Sơn Đồng Nai,"Đường 7, KCN Biên Hòa 1, P. An Bình,TP. Biên Hòa, Tĩnh Đồng Nai","Sản xuất kinh doanh sản phẩm về sơn, keo","30,00%",,,,0.3
3.,Công ty liên kết: > 3.,3.,Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1- Đồng Nai,"15 Đồng Khởi, P. Tân Tiến, TP. Biên Hòa,Tĩnh Đồng Nai",Xây dựng công trình và sản xuất gạch ngói,"20,00%",,,,0.2
4.,Công ty liên kết: > 4.,4.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,"Số 1, Đường 6A, KCN Biên Hòa 2,TP. Biên Hòa, Tĩnh Đồng Nai",Giáo dục - Đào tạo - Dịch vụ,"40,00%",,,,0.4
5.,Công ty liên kết: > 5.,5.,Công ty Cổ phần Đầu tư quốc lộ 91 Cần Thơ - An Giang,"Số 315, Đường Võ Nguyên Giáp, Xã PhướcTân, TP. Biên Hòa, Tĩnh Đồng Nai","Xây dựng công trình giao thông, đầu tư xây dựng công trình giao thông(theo phương thức hợp đồng Xây dựng- Kinh doanh - Chuyển giao (BOT))","39,72%",,,,0.3972
6.,Công ty liên kết: > 6.,6.,Công ty Cổ phần Kinh doanh nhà Đồng Nai,"121 Phan Chu Trinh, P.Quang Vinh,TP. Biên Hòa, Tĩnh Đồng Nai","Kinh doanh nhà và hạ tầng, xây dựng","36,00%",,,,0.36
