row_label_raw,row_label_full,col_0,Tại ngày 31/12/2019VND > Giá gốc,Tại ngày 31/12/2019VND > Giá trị hợp lý,Tại ngày 31/12/2019VND > Dự phòng,Tại ngày 01/01/2019VND > Giá gốc,Tại ngày 01/01/2019VND > Giá trị hợp lý,Tại ngày 01/01/2019VND > Dự phòng,numeric__Tại ngày 31/12/2019VND > Giá gốc,numeric__Tại ngày 31/12/2019VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2019VND > Dự phòng,numeric__Tại ngày 01/01/2019VND > Giá gốc,numeric__Tại ngày 01/01/2019VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2019VND > Dự phòng
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần Cấp nước Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Cấp nước Đồng Nai,Công ty Cổ phần Cấp nước Đồng Nai,657.132.846.787,1.174.490.844.545,-,657.132.846.787,783.226.584.000,-,657132846787.0,1174490844545.0,,657132846787.0,783226584000.0,
Công ty Cổ phần Sonadezi Long Bình,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Long Bình,Công ty Cổ phần Sonadezi Long Bình,-,-,-,295.444.200.000,(*),-,,,,295444200000.0,,
Công ty Cổ phần Cằng Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Cằng Đồng Nai,Công ty Cổ phần Cằng Đồng Nai,242.452.980.000,651.789.180.000,-,242.452.980.000,434.526.120.000,-,242452980000.0,651789180000.0,,242452980000.0,434526120000.0,
Công ty Cổ phần Sonadezi Long Thành,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Long Thành,Công ty Cổ phần Sonadezi Long Thành,201.688.600.000,442.281.600.000,-,201.688.600.000,315.330.400.000,-,201688600000.0,442281600000.0,,201688600000.0,315330400000.0,
Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Đầu tư vào công ty con: > Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,200.655.000.000,975.492.000.000,-,200.655.000.000,424.153.800.000,-,200655000000.0,975492000000.0,,200655000000.0,424153800000.0,
Công ty Cổ phần Môi trường Sonadezi,Đầu tư vào công ty con: > Công ty Cổ phần Môi trường Sonadezi,Công ty Cổ phần Môi trường Sonadezi,197.027.735.730,192.215.791.118,-,197.027.735.730,151.012.969.560,-,197027735730.0,192215791118.0,,197027735730.0,151012969560.0,
Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,161.004.996.000,-,53.838.407.700,119.063.488.500,-,53838407700.0,161004996000.0,,53838407700.0,119063488500.0,
Công ty Cổ phần Kinh doanh nhà Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty Cổ phần Kinh doanh nhà Đồng Nai,-,-,-,45.193.257.083,(*),-,,,,45193257083.0,,
Công ty Cổ phần Sonadezi Giang Điền,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,255.000.000.000,(*),-,255.000.000.000,(*),-,255000000000.0,,,255000000000.0,,
Cộng,Đầu tư vào công ty con: > Cộng,Cộng,1.807.795.570.217,,-,2.148.433.027.300,,-,1807795570217.0,,,2148433027300.0,,
