row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Cộng VND
Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,3.765.000.000.000,-,5.706.000.000,344.166.335.610,4.114.872.335.610,3765000000000.0,,5706000000.0,344166335610.0,4114872335610.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,292.733.021.412,292.733.021.412,,,,292733021412.0,292733021412.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,(90.100.000),-,-,(90.100.000),,-90100000.0,,,-90100000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,19.010.673.476,(19.010.673.476),-,,,19010673476.0,-19010673476.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(12.185.680.116),(12.185.680.116),,,,-12185680116.0,-12185680116.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(376.491.800.000),(376.491.800.000),,,,-376491800000.0,-376491800000.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,3.765.000.000.000,(90.100.000),24.716.673.476,229.211.203.430,4.018.837.776.906,3765000000000.0,-90100000.0,24716673476.0,229211203430.0,4018837776906.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,367.158.641.273,367.158.641.273,,,,367158641273.0,367158641273.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,16.208.000.000,(16.208.000.000),-,,,16208000000.0,-16208000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(6.776.000.000),(6.776.000.000),,,,-6776000000.0,-6776000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(338.842.620.000),(338.842.620.000),,,,-338842620000.0,-338842620000.0
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,3.765.000.000.000,(90.100.000),40.924.673.476,234.543.224.703,4.040.377.798.179,3765000000000.0,-90100000.0,40924673476.0,234543224703.0,4040377798179.0
