row_label_raw,row_label_full,Công ty Cổ phần Tập đoàn Tân Mai > Công ty CP Bê tông Biên Hòa > Công ty CP Gạch men Thanh Thanh > Công ty CP Cơ giới và Xây lắp số 9 > Khác,Tại ngày 31/12/2019VND > Giá gốc > 4.458.384.213 > 1.298.024.543 > 500.000.000 > 931.512.584 > 4.883.973.223,Tại ngày 31/12/2019VND > Giá trị có thể thu hồi > 3.120.868.949 > 969.395.147 > 350.000.000 > 782.610.083 > 3.324.549.191,Tại ngày 31/12/2019VND > Thời gian quá hạn > đến dưới 1 năm > đến dưới 2 năm > đến dưới 1 năm > đến dưới 2 năm > đến dưới 3 năm,Tại ngày 01/01/2019VND > Giá gốc > - > 1.508.110.161 > 1.141.244.891 > 597.243.630 > 3.395.441.003,Tại ngày 01/01/2019VND > Giá trị có thể thu hồi > - > 682.959.836 > 949.440.683 > 462.090.742 > 3.036.379.276,Tại ngày 01/01/2019VND > Thời gian quá hạn > đến dưới 3 năm > đến dưới 1 năm > đến dưới 2 năm,numeric__Tại ngày 31/12/2019VND > Giá gốc > 4.458.384.213 > 1.298.024.543 > 500.000.000 > 931.512.584 > 4.883.973.223,numeric__Tại ngày 31/12/2019VND > Giá trị có thể thu hồi > 3.120.868.949 > 969.395.147 > 350.000.000 > 782.610.083 > 3.324.549.191,numeric__Tại ngày 31/12/2019VND > Thời gian quá hạn > đến dưới 1 năm > đến dưới 2 năm > đến dưới 1 năm > đến dưới 2 năm > đến dưới 3 năm,numeric__Tại ngày 01/01/2019VND > Giá gốc > - > 1.508.110.161 > 1.141.244.891 > 597.243.630 > 3.395.441.003,numeric__Tại ngày 01/01/2019VND > Giá trị có thể thu hồi > - > 682.959.836 > 949.440.683 > 462.090.742 > 3.036.379.276,numeric__Tại ngày 01/01/2019VND > Thời gian quá hạn > đến dưới 3 năm > đến dưới 1 năm > đến dưới 2 năm
Cộng,Cộng,Cộng,12.071.894.563,8.547.423.370,,6.642.039.685,5.130.870.537,,12071894563.0,8547423370.0,,6642039685.0,5130870537.0,
4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,4.6. Hàng tồn kho,,,,,,
,,,,Tại ngày 31/12/2019VND,Tại ngày 31/12/2019VND,Tại ngày 01/01/2019VND,Tại ngày 01/01/2019VND,,,,,,,
,,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,,,,
"Công cụ, dụng cụ","4.6. Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",,9.520.000,-,9.520.000,-,,,9520000.0,,9520000.0,,
Chi phí sản xuất kinh doanh dở dang,4.6. Hàng tồn kho > Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,,10.769.282.457,-,11.434.516.913,-,,,10769282457.0,,11434516913.0,,
Mỏ đá Xuân Hòa,4.6. Hàng tồn kho > Mỏ đá Xuân Hòa,Mỏ đá Xuân Hòa,,5.863.921.117,-,5.487.273.426,-,,,5863921117.0,,5487273426.0,,
Chuyển đổi công năng KCN Biên Hòa 1,4.6. Hàng tồn kho > Chuyển đổi công năng KCN Biên Hòa 1,Chuyển đổi công năng KCN Biên Hòa 1,,3.833.608.907,-,3.833.608.907,-,,,3833608907.0,,3833608907.0,,
Khác,4.6. Hàng tồn kho > Khác,Khác,,1.071.752.433,-,2.113.634.580,-,,,1071752433.0,,2113634580.0,,
Hàng hóa,4.6. Hàng tồn kho > Hàng hóa,Hàng hóa,,223.363.736,-,109.871.000,-,,,223363736.0,,109871000.0,,
Cộng,4.6. Hàng tồn kho > Cộng,Cộng,,11.002.166.193,-,11.553.907.913,-,,,11002166193.0,,11553907913.0,,
