row_label_raw,row_label_full,Số đầu năm > Mua trong năm,495.261.733.773 > 95.704.384.089,numeric__495.261.733.773 > 95.704.384.089
Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,2.247.550.882,2247550882.0
Số cuối năm,Số cuối năm,Số cuối năm,593.213.668.744,593213668744.0
