row_label_raw,row_label_full,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Thu nhập lãi cho vay,184.805.179.756,88.853.342.290,numeric__Công ty liên kết,numeric__Thu nhập lãi cho vay,numeric__184.805.179.756,numeric__88.853.342.290
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cùng Tập đoàn,Thu nhập lãi cho vay,147.283.252.584,2.526.145.679,,,147283252584.0,2526145679.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Đặt cọc Thu nhập lãi cho vay,57.350.000.000 16.709.760.273,57.350.000.000 10.936.404.110,,,,
Bà Huỳnh Thảo Linh,Công ty Cổ phần Thành Thành Nam > Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bên liên quan,Tạm ứng cho công tác đèn bù đất,27.649.646.183,533.264.693,,,27649646183.0,533264693.0
Công ty Cổ phần Bất động sản 66,Công ty Cổ phần Thành Thành Nam > Công ty Cổ phần Bất động sản 66,Công ty Cổ phần Bất động sản 66,Bên liên quan,Thu nhập lãi cho vay,22.989.318.503,13.917.750.004,,,22989318503.0,13917750004.0
Ông Nguyễn Hữu Đạt,Công ty Cổ phần Thành Thành Nam > Ông Nguyễn Hữu Đạt,Ông Nguyễn Hữu Đạt,Bên liên quan,Tạm ứng cho công tác đèn bù đất,19.328.525.169,-,,,19328525169.0,
Ông Trần Lam Thông,Ông Trần Lam Thông,Ông Trần Lam Thông,Bên liên quan,Tạm ứng cho công tác đèn bù đất Khác,16.339.627.171 213.244.526,6.738.940.012 -,,,,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Ông Trần Lam Thông > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con,Phí hoa hồng môi giới,9.877.967.177,-,,,9877967177.0,
Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Ông Trần Lam Thông > Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Bên liên quan,Thu nhập lãi cho vay,9.732.649.890,-,,,9732649890.0,
