row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phầnĐầu tư Bất độngsản TTC LandLong An,Mối quanhệ > Công tycon đếnngày 9tháng 3năm 2020,Nội dungnghiệp vụ > Thanh lý đầu tưĐầu tưVayTrả gốc vayCung cấp dịch vụ,Năm nay > 49.000.000.00047.780.000.00040.000.000.00040.000.000.0006.793.429.027,Năm trước > -1.170.000.000--,numeric__Mối quanhệ > Công tycon đếnngày 9tháng 3năm 2020,numeric__Nội dungnghiệp vụ > Thanh lý đầu tưĐầu tưVayTrả gốc vayCung cấp dịch vụ,numeric__Năm nay > 49.000.000.00047.780.000.00040.000.000.00040.000.000.0006.793.429.027,numeric__Năm trước > -1.170.000.000--
Công ty Cổ phầnBao bì và Khobãi Bình Tây,Công ty Cổ phầnBao bì và Khobãi Bình Tây,Công ty Cổ phầnBao bì và Khobãi Bình Tây,Bên liênquan,Chi phí lãi vayVay,2.617.534.932-,1.697.608.93341.178.405.846,,,,1.697608933411784e+20
Công ty Cổ phầnKhai thác vàQuản lý KhuCông nghiệpĐặng Huỳnh,Công ty Cổ phầnKhai thác vàQuản lý KhuCông nghiệpĐặng Huỳnh,Công ty Cổ phầnKhai thác vàQuản lý KhuCông nghiệpĐặng Huỳnh,Bên liênquan,Nhận góp vốn hợptác kinh doanhCho vayThu hồi gốc vayVayChi phí lãi vayMua dịch vụTrả gốc vay,244.500.000.00012.350.000.00012.350.000.0002.000.000.000146.438.356-,----5.000.000.000236.876.71335.103.963.6361.000.000.000,,,,
Công ty Cổ phầnĐầu tư Phát triểnTân Sơn Nhất,Công ty Cổ phầnKhai thác vàQuản lý KhuCông nghiệpĐặng Huỳnh > Công ty Cổ phầnĐầu tư Phát triểnTân Sơn Nhất,Công ty Cổ phầnĐầu tư Phát triểnTân Sơn Nhất,Bên liênquan,Thu nhập lãi cho vayCho vay,3.894.292.0533.355.000.000,3.592.295.3384.085.000.000,,,3.8942920533355e+19,3.5922953384085e+19
Công ty Cổ phầnĐầu tư Kiến trúcXây dựng ToànThịnh Phát,Công ty Cổ phầnKhai thác vàQuản lý KhuCông nghiệpĐặng Huỳnh > Công ty Cổ phầnĐầu tư Kiến trúcXây dựng ToànThịnh Phát,Công ty Cổ phầnĐầu tư Kiến trúcXây dựng ToànThịnh Phát,Bên liênquan,"Thu nhập lãi cho vayMua hàng hóa,dịch vụ",668.528.939-,666.702.35834.777.555.203,,,,6.667023583477756e+19
Công ty TNHHMTV Kỹ thuậtXây dựng ToànThịnh Phát,Công ty Cổ phầnKhai thác vàQuản lý KhuCông nghiệpĐặng Huỳnh > Công ty TNHHMTV Kỹ thuậtXây dựng ToànThịnh Phát,Công ty TNHHMTV Kỹ thuậtXây dựng ToànThịnh Phát,Bên liênquan,"Mua hàng hóa,dịch vụThu nhập cho thuềvăn phòng",-,12.357.095.934124.171.498,,,,1.2357095934124171e+19
Công ty TNHHMTV Dịch vụBất động sảnMinh Anh,Công ty TNHHMTV Dịch vụBất động sảnMinh Anh,Công ty TNHHMTV Dịch vụBất động sảnMinh Anh,Bên liênquan,Mua hàng hóaBán dịch vụThanh lý khoảnđầu tưVayỨng trước từ kháchhàng,55.704.384.089297.765.714-,----270.000.000.00080.000.000.00061.500.000.000,,,,
Ông NguyễnĐăng Thanh,Công ty TNHHMTV Dịch vụBất động sảnMinh Anh > Ông NguyễnĐăng Thanh,Ông NguyễnĐăng Thanh,Chủ tịchHĐQT đếnngày 29tháng 6năm 2020,Trả gốc vayChi phí lãi vayVay,8.750.000.000437.106.166-,4.750.000.000770.334.93213.500.000.000,,,,4.750000000770335e+29
