row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Phí quản lý,4.006.984.802,5.091.398.260,numeric__Cổ đông lớn,numeric__Phí quản lý,numeric__4.006.984.802,numeric__5.091.398.260
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty con,Phí thi công,4.596.243.325,-,,,4596243325.0,
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Thuê văn phòng,3.092.845.991,5.006.835.346,,,3092845991.0,5006835346.0
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Phí môi giới,1.898.186.400,2.133.482.617,,,1898186400.0,2133482617.0
