row_label_raw,row_label_full,Bên cho vay,Lãi suất%/năm,Số cuối nămVND,Số đầu nămVND,numeric__Lãi suất%/năm,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Các cá nhân,Các cá nhân,Các cá nhân,"1,00 -12,00",347.103.486.099,420.920.064.072,,347103486099.0,420920064072.0
Công ty Cổ phần Kho bãi Bao Bí Bình Tây,Công ty Cổ phần Kho bãi Bao Bí Bình Tây,Công ty Cổ phần Kho bãi Bao Bí Bình Tây,"10,50",21.818.000.000,23.552.000.000,10.5,21818000000.0,23552000000.0
Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty Cổ phần Đầu tư Bất động sản Kim Thành,"10,00",7.300.000.000,9.500.000.000,10.0,7300000000.0,9500000000.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,"6,50",900.000.000,54.500.000.000,6.5,900000000.0,54500000000.0
Công ty TNHH MTV Tư Vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư Vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư Vấn Sài Gòn Thương Tín,"10,50",600.000.000,-,10.5,600000000.0,
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,"10,50",430.000.000,460.000.000,10.5,430000000.0,460000000.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,,-,169.433.120.000,,,169433120000.0
Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,,-,59.750.000.000,,,59750000000.0
Công ty TNHH Đầu tư Thành Tạo,Công ty TNHH Đầu tư Thành Tạo,Công ty TNHH Đầu tư Thành Tạo,,-,38.431.000.000,,,38431000000.0
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,,-,30.000.000.000,,,30000000000.0
Công ty TNHH Xây dựng Thương mại Thuận Việt,Công ty TNHH Xây dựng Thương mại Thuận Việt,Công ty TNHH Xây dựng Thương mại Thuận Việt,,-,28.000.000.000,,,28000000000.0
Công ty Cổ phần Chè Ngọc Bảo,Công ty Cổ phần Chè Ngọc Bảo,Công ty Cổ phần Chè Ngọc Bảo,,-,16.000.000.000,,,16000000000.0
Công ty Cổ phần Năng lượng Thương Tín,Công ty Cổ phần Năng lượng Thương Tín,Công ty Cổ phần Năng lượng Thương Tín,,-,12.749.700.000,,,12749700000.0
Công ty Cổ phần Đầu tư Hạ Tầng Cụm Công Nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ Tầng Cụm Công Nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ Tầng Cụm Công Nghiệp Tân Hội,,-,5.000.000.000,,,5000000000.0
Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,,-,5.000.000.000,,,5000000000.0
Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,,-,4.000.000.000,,,4000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,378.151.486.099,877.295.884.072,,378151486099.0,877295884072.0
