row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.189.914.933(11.272.727),12.647.954.038(451.394.178),14.086.959.880(462.666.905),249090909.0,,,
Xóa số,Xóa số,Xóa số,-,1.189.914.933(11.272.727),12.647.954.038(451.394.178),14.086.959.880(462.666.905),,,,
Số cuối năm,Xóa số > Số cuối năm,Số cuối năm,249.090.909,1.178.642.206,12.196.559.860,13.624.292.975,249090909.0,1178642206.0,12196559860.0,13624292975.0
Trong đó:Dã khấu hao hết,Xóa số > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,1.023.943.943,6.691.696.438,7.715.640.381,,1023943943.0,6691696438.0,7715640381.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(186.818.184),(1.056.216.078),(9.100.131.317),(10.343.165.579),-186818184.0,-1056216078.0,-9100131317.0,-10343165579.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(41.515.152),(55.323.660),(1.101.045.695),(1.197.884.507),-41515152.0,-55323660.0,-1101045695.0,-1197884507.0
Xóa số,Giá trị khấu hao lũy kế: > Xóa số,Xóa số,-,11.272.727,451.394.178,462.666.905,,11272727.0,451394178.0,462666905.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(228.333.336),(1.100.267.011),(9.749.782.834),(11.078.383.181),-228333336.0,-1100267011.0,-9749782834.0,-11078383181.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,62.272.725,133.698.855,3.547.822.721,3.743.794.301,62272725.0,133698855.0,3547822721.0,3743794301.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,20.757.573,78.375.195,2.446.777.026,2.545.909.794,20757573.0,78375195.0,2446777026.0,2545909794.0
