row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả người bán ngắn hạn (tiếp theo),Phải trả người bán ngắn hạn (tiếp theo),Phải trả người bán ngắn hạn (tiếp theo),Phải trả người bán ngắn hạn (tiếp theo),Phải trả người bán ngắn hạn (tiếp theo),Phải trả người bán ngắn hạn (tiếp theo),Phải trả người bán ngắn hạn (tiếp theo),,,,
Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Phải trả người bán ngắn hạn (tiếp theo) > Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Bên liên quan,Phí thi công,1.561.722.673,1.726.722.673,,,1561722673.0,1726722673.0
Công ty Cổ phần Thương Tín Tàu Cước,Phải trả người bán ngắn hạn (tiếp theo) > Công ty Cổ phần Thương Tín Tàu Cước,Công ty Cổ phần Thương Tín Tàu Cước,Công ty con,Thuê mặt bằng,803.500.500,241.050.150,,,803500500.0,241050150.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Phải trả người bán ngắn hạn (tiếp theo) > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con,Phí quản lý,434.088.701,-,,,434088701.0,
Công ty Cổ phần Du lịch Thành Thành Công,Phải trả người bán ngắn hạn (tiếp theo) > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty trong cùng Tập đoàn,Công tác phí,422.171.000,392.384.358,,,422171000.0,392384358.0
Ông Vũ Quốc Thái,Phải trả người bán ngắn hạn (tiếp theo) > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT,Khác,15.000.000,15.000.000,,,15000000.0,15000000.0
Công ty cổ phần May Tiến Phát,Phải trả người bán ngắn hạn (tiếp theo) > Công ty cổ phần May Tiến Phát,Công ty cổ phần May Tiến Phát,Công ty liên kết,Thuê mặt bằng,-,2.349.037.020,,,,2349037020.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Phải trả người bán ngắn hạn (tiếp theo) > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Đầu tư khác,Thuê mặt bằng,-,2.147.602.261,,,,2147602261.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Phải trả người bán ngắn hạn (tiếp theo) > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty con,Phí quản lý,-,2.105.019.841,,,,2105019841.0
Công ty TNHH Sản xuất Kinh doanh Hải Thành,Phải trả người bán ngắn hạn (tiếp theo) > Công ty TNHH Sản xuất Kinh doanh Hải Thành,Công ty TNHH Sản xuất Kinh doanh Hải Thành,Bên liên quan,Mua hàng hóa và dịch vụ,-,536.378.368,,,,536378368.0
Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Phải trả người bán ngắn hạn (tiếp theo) > Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Bên liên quan,Mua hàng hóa và dịch vụ,-,48.902.050,,,,48902050.0
Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Phải trả người bán ngắn hạn (tiếp theo) > Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Bên liên quan,Mua hàng hóa,-,6.000.000,,,,6000000.0
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Phải trả người bán ngắn hạn (tiếp theo) > Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Công tác phí,-,936.000,,,,936000.0
,,,,,16.830.743.392,21.800.748.944,,,16830743392.0,21800748944.0
