row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,Trang web,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__Trang web,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,90.175.781.818,12.924.618.196,2.545.810.000,105.646.210.014,90175781818.0,12924618196.0,2545810000.0,105646210014.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.814.851.500,1.381.061.000,3.195.912.500,,1814851500.0,1381061000.0,3195912500.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,(48.401.783),-,(48.401.783),,-48401783.0,,-48401783.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,90.175.781.818,14.691.067.913,3.926.871.000,108.793.720.731,90175781818.0,14691067913.0,3926871000.0,108793720731.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,3.554.528.880,-,3.554.528.880,,3554528880.0,,3554528880.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(4.504.672.735),(1.452.077.560),(5.956.750.295),,-4504672735.0,-1452077560.0,-5956750295.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.460.290.824),(221.468.726),(1.681.759.550),,-1460290824.0,-221468726.0,-1681759550.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,48.401.783,-,48.401.783,,48401783.0,,48401783.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(5.916.561.776),(1.673.546.286),(7.590.108.062),,-5916561776.0,-1673546286.0,-7590108062.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,90.175.781.818,8.419.945.461,1.093.732.440,99.689.459.719,90175781818.0,8419945461.0,1093732440.0,99689459719.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,90.175.781.818,8.774.506.137,2.253.324.714,101.203.612.669,90175781818.0,8774506137.0,2253324714.0,101203612669.0
Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minhsố 24),Giá trị còn lại: > Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minhsố 24),Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minhsố 24),90.175.781.818,-,-,90.175.781.818,90175781818.0,,,90175781818.0
