row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 17.1) > Đầu tư vào công ty liên kết (Thuyết minh số 17.2) > Đầu tư góp vốn vào các đơn vị khác(Thuyết minh số 17.3),Số cuối năm > 2.518.965.672.911 > 10.600.000.000 > 256.432.650.491,VND Số đầu năm > 2.354.337.559.411 > 12.800.000.000 > 256.417.698.907,numeric__Số cuối năm > 2.518.965.672.911 > 10.600.000.000 > 256.432.650.491,numeric__VND Số đầu năm > 2.354.337.559.411 > 12.800.000.000 > 256.417.698.907
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.785.998.323.402,2.623.555.258.318,2785998323402.0,2623555258318.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(102.482.256.179),(115.024.222.264),-102482256179.0,-115024222264.0
GIÁ TRI THUÀN,GIÁ TRI THUÀN,GIÁ TRI THUÀN,2.683.516.067.223,2.508.531.036.054,2683516067223.0,2508531036054.0
