row_label_raw,row_label_full,Arrangement organization,Ending balanceVND,Term,Interest rate% p.a.,Purpose,Description of collateral,numeric__Ending balanceVND,numeric__Term,numeric__Interest rate% p.a.,numeric__Purpose,numeric__Description of collateral
Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,Vietnam Technology and Commercial Joint Stock Bank,,,,,
Bond 1,Vietnam Technology and Commercial Joint Stock Bank > Bond 1,Bond 1,"470,095,890,411",19 December 2021,8.85,To finance Hung Dien - Tan Hung District 8 project,Land use rights and other assets attached to the land at Hung Dien - Tan Hung District 8 project owned by Tan Hung Investment Joint Stock Company,,,885.0,,
Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,Vietnam Maritime Commercial Join Stock Bank,,,,,
Bond 1,Vietnam Maritime Commercial Join Stock Bank > Bond 1,Bond 1,"100,000,000,000",4 July 2022,11.70,To finance project,"54,530,000 shares issued by Tin Nghia Corporation held by Thanh Thanh Cong Investment Joint Stock Company; rights and assets arising from the ownership of houses at No. 7 Tan Da, Ward 10, District 5, HCMC and No. 740 Ham Tu, Ward 10, District 5, HCMC",,,1170.0,,
Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,Vietnam Prosperity Joint Stock Commercial Bank,,,,,
Bond 1,Vietnam Prosperity Joint Stock Commercial Bank > Bond 1,Bond 1,"80,000,000,000",22 November 2022,11.50,To finance Jamona City Project,"Land use rights, properties formed on the land plot No. 447, Phu Thuan Ward, District 7, HCMC",,,1150.0,,
Bond 2,Vietnam Prosperity Joint Stock Commercial Bank > Bond 2,Bond 2,"100,000,000,000",7 December 2021,10.60,To finance working capital,"Land use rights, properties formed on land and property rights at Lot K - Low-rise apartment building in Residential Area of Jamona City project",,,1060.0,,
TOTAL,TOTAL,TOTAL,"750,095,890,411",,,,,,,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,,
Current portion,Current portion,Current portion,"570,095,890,411",,,,,,,,,
Non-current portion,Non-current portion,Non-current portion,"180,000,000,000",,,,,,,,,
