row_label_raw,row_label_full,Cho vay các bên liên quan (Thuyết minh số 32) (i),Số cuối năm > 1.288.592.394.445,VND Số đầu năm > 1.381.641.790.332,numeric__Số cuối năm > 1.288.592.394.445,numeric__VND Số đầu năm > 1.381.641.790.332
Cho vay các bên khác (ii),Cho vay các bên khác (ii),Cho vay các bên khác (ii),156.000.000.000,202.185.000.000,156000000000.0,202185000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.444.592.394.445,1.583.826.790.332,1444592394445.0,1583826790332.0
