row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Ông Vũ Quốc Thái,Vay ngắn hạn > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT,Vay,16.498.845.238,-,,,16498845238.0,
Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Vay ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty Cổ phần Đầu tư Bất động sản Kim Thành,Công ty liên kết,Vay,7.300.000.000,9.500.000.000,,,7300000000.0,9500000000.0
Ông Bùi Tiến Thắng,Vay ngắn hạn > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó chủ tịch HĐQT,Vay,1.839.124.801,9.075.508.500,,,1839124801.0,9075508500.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Vay,900.000.000,-,,,900000000.0,
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Vay ngắn hạn > Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Vay,600.000.000,-,,,600000000.0,
Công ty TNHH MTV TTC Land Retail Management,Vay ngắn hạn > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Vay,430.000.000,460.000.000,,,430000000.0,460000000.0
Bà Nguyễn Thị Thanh Thảo,Vay ngắn hạn > Bà Nguyễn Thị Thanh Thảo,Bà Nguyễn Thị Thanh Thảo,Kế toán trường,Vay,250.000.000,-,,,250000000.0,
Ông Võ Quốc Khánh,Vay ngắn hạn > Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Tổng Giám đốc,Vay,100.000.000,-,,,100000000.0,
Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Vay ngắn hạn > Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Bên liên quan,Vay,-,59.750.000.000,,,,59750000000.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Vay ngắn hạn > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Đầu tư khác,Vay,-,30.000.000.000,,,,30000000000.0
Công ty Cổ phần Năng lượng Thương Tín,Vay ngắn hạn > Công ty Cổ phần Năng lượng Thương Tín,Công ty Cổ phần Năng lượng Thương Tín,Công ty con,Vay,-,12.749.700.000,,,,12749700000.0
Ông Nguyễn Đăng Thanh,Vay ngắn hạn > Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Chủ tịch HĐQT đến ngày 29 tháng 6 năm 2020,Vay,-,8.750.000.000,,,,8750000000.0
Công ty Cổ phần Du lịch Thành Thành Công,Vay ngắn hạn > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan,Vay,-,5.000.000.000,,,,5000000000.0
Ông Lâm Minh Châu,Vay ngắn hạn > Ông Lâm Minh Châu,Ông Lâm Minh Châu,Trường TBKT đến ngày 29 tháng 6 năm 2020,Vay,-,2.111.729.812,,,,2111729812.0
