row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.392.226.750.000,333.261.184.101,(11.890.000),24.890.292.522,126.150.474.390,286.758.992.136,4.163.275.803.149,3392226750000.0,333261184101.0,-11890000.0,24890292522.0,126150474390.0,286758992136.0,4163275803149.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,4.140.877.709,(4.140.877.709),-,,,,,4140877709.0,-4140877709.0,
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(8.281.755.418),(8.281.755.418),,,,,,-8281755418.0,-8281755418.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,207.980.235.866,207.980.235.866,,,,,,207980235866.0,207980235866.0
Tái phát hành cổ phiếu quỹ,Năm trước > Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,(3.402.890),11.890.000,-,-,-,8.487.110,,-3402890.0,11890000.0,,,,8487110.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.392.226.750.000,333.257.781.211,-,24.890.292.522,130.291.352.099,482.316.594.875,4.362.982.770.707,3392226750000.0,333257781211.0,,24890292522.0,130291352099.0,482316594875.0,4362982770707.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.392.226.750.000,333.257.781.211,-,24.890.292.522,130.291.352.099,482.316.594.875,4.362.982.770.707,3392226750000.0,333257781211.0,,24890292522.0,130291352099.0,482316594875.0,4362982770707.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),271.336.280.000,-,-,-,-,(271.336.280.000),-,271336280000.0,,,,,-271336280000.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,109.637.136.321,109.637.136.321,,,,,,109637136321.0,109637136321.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,10.399.011.793,(10.399.011.793),-,,,,,10399011793.0,-10399011793.0,
"Trích quỹ khen thưởng,phúc lợi","Năm nay > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(20.798.023.586),110.224.565.371,,,,,,-20798023586.0,110224565371.0
Giám khác,Năm nay > Giám khác,Giám khác,-,-,-,-,-,(4.102.609.572),(4.102.609.572),,,,,,-4102609572.0,-4102609572.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,-,24.890.292.522,140.690.363.892,285.317.806.245,4.447.719.273.870,3663563030000.0,333257781211.0,,24890292522.0,140690363892.0,285317806245.0,4447719273870.0
