row_label_raw,row_label_full,13,Chi phí trả trước,Chi phí trả trước_1,Chi phí trả trước_2,Chi phí trả trước_3,Chi phí trả trước_4,numeric__Chi phí trả trước,numeric__Chi phí trả trước_1,numeric__Chi phí trả trước_2,numeric__Chi phí trả trước_3,numeric__Chi phí trả trước_4
13.1,13.1,13.1,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,,,,,
,,,,31/12/2022VND,1/1/2022VND,,,,,,,
,,,Chi phí quảng cáo,9.191.040.230,16.339.489.162,,,,9191040230.0,16339489162.0,,
,,,Chi phí thuê văn phòng,10.062.163.636,9.499.090.909,,,,10062163636.0,9499090909.0,,
,,,Chi phí đàn xếp khoản vay,5.416.434.139,-,,,,5416434139.0,,,
,,,Chi phí khác,675.799.744,15.332.300.440,,,,675799744.0,15332300440.0,,
,,,,25.345.437.749,41.170.880.511,,,,25345437749.0,41170880511.0,,
13.2,13.2,13.2,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,,,,
,,,Chi phí sửa chữa văn phòng VND,Công cụ và dụng cụ VND,Chi phí làm thủ tục vay VND,Chi phí khác VND,Tổng cộng VND,,,,,
,,,Số dư đầu năm,1.636.527.637,599.821.561,30.694.048.724,1.166.520.458,,1636527637.0,599821561.0,30694048724.0,1166520458.0
,,,Tăng trong năm,3.164.249.905,840.878.004,-,220.600.000,,3164249905.0,840878004.0,,220600000.0
,,,Phân bổ trong năm,(1.772.011.049),(407.518.263),(17.539.702.524),(815.888.146),,-1772011049.0,-407518263.0,-17539702524.0,-815888146.0
,,,Số dư cuối năm,3.028.766.493,1.033.181.302,13.154.346.200,571.232.312,,3028766493.0,1033181302.0,13154346200.0,571232312.0
