row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.884.450.941,6.432.481.745,79.193.374.417,45.644.067.350,138.154.374.453,6884450941.0,6432481745.0,79193374417.0,45644067350.0,138154374453.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,146.200.000,13.186.580.000,34.153.742.918,47.486.522.918,,146200000.0,13186580000.0,34153742918.0,47486522918.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(11.747.400.000),-,(11.747.400.000),,,-11747400000.0,,-11747400000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.884.450.941,6.578.681.745,80.632.554.417,79.797.810.268,173.893.497.371,6884450941.0,6578681745.0,80632554417.0,79797810268.0,173893497371.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.654.148.879,5.201.812.364,38.224.780.175,28.143.730.349,74.224.471.767,2654148879.0,5201812364.0,38224780175.0,28143730349.0,74224471767.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,688.445.976,233.941.126,10.223.656.244,9.009.748.452,20.155.791.798,688445976.0,233941126.0,10223656244.0,9009748452.0,20155791798.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(11.747.400.000),-,(11.747.400.000),,,-11747400000.0,,-11747400000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.342.594.855,5.435.753.490,36.701.036.419,37.153.478.801,82.632.863.565,3342594855.0,5435753490.0,36701036419.0,37153478801.0,82632863565.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.230.302.062,1.230.669.381,40.968.594.242,17.500.337.001,63.929.902.686,4230302062.0,1230669381.0,40968594242.0,17500337001.0,63929902686.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.541.856.086,1.142.928.255,43.931.517.998,42.644.331.467,91.260.633.806,3541856086.0,1142928255.0,43931517998.0,42644331467.0,91260633806.0
