row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2022VND,1/1/2022VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Điện lạnh Hòa Phát,Công ty con > Công ty TNHH Điện lạnh Hòa Phát,Công ty TNHH Điện lạnh Hòa Phát,-,23.625.000,,23625000.0
Các bên liên quan khác,Công ty con > Các bên liên quan khác,Các bên liên quan khác,9.172.000,18.424.904,9172000.0,18424904.0
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,
Công ty TNHH Mặt trời vàng,Bên khác > Công ty TNHH Mặt trời vàng,Công ty TNHH Mặt trời vàng,1.709.836.364,-,1709836364.0,
Công ty TNHH SL International,Bên khác > Công ty TNHH SL International,Công ty TNHH SL International,-,14.334.472.000,,14334472000.0
Công ty TNHH Tổng Công ty Công nghệvà Giải pháp CMC,Bên khác > Công ty TNHH Tổng Công ty Công nghệvà Giải pháp CMC,Công ty TNHH Tổng Công ty Công nghệvà Giải pháp CMC,-,7.503.796.300,,7503796300.0
Công ty CP Thương mại In Nhật Nam,Bên khác > Công ty CP Thương mại In Nhật Nam,Công ty CP Thương mại In Nhật Nam,4.124.705.760,3.981.536.410,4124705760.0,3981536410.0
Các nhà cung cấp khác,Bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,5.905.798.110,5.926.615.429,5905798110.0,5926615429.0
,,,11.749.512.234,31.788.470.043,11749512234.0,31788470043.0
