row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,28.755.408.500,18.904.213.340,47.659.621.840,28755408500.0,18904213340.0,47659621840.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.900.812.000,1.900.812.000,,1900812000.0,1900812000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,28.755.408.500,20.805.025.340,49.560.433.840,28755408500.0,20805025340.0,49560433840.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,18.851.883.587,18.851.883.587,,18851883587.0,18851883587.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,316.331.418,316.331.418,,316331418.0,316331418.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,19.168.215.005,19.168.215.005,,19168215005.0,19168215005.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,28.755.408.500,52.329.753,28.807.738.253,28755408500.0,52329753.0,28807738253.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,28.755.408.500,1.636.810.335,30.392.218.835,28755408500.0,1636810335.0,30392218835.0
