row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,33.132.826.590.000,3.211.560.416.270,902.000.000.000,22.109.389.087.377,59.355.776.093.647,33132826590000.0,3211560416270.0,902000000000.0,22109389087377.0,59355776093647.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,8.567.931.679.810,8.567.931.679.810,,,,8567931679810.0,8567931679810.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 21),Trả cổ tức bằng cổ phiếu (Thuyết minh 21),Trả cổ tức bằng cổ phiếu (Thuyết minh 21),11.596.400.470.000,-,-,(11.596.400.470.000),-,11596400470000.0,,,-11596400470000.0,
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,(1.656.641.329.500),(1.656.641.329.500),,,,-1656641329500.0,-1656641329500.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,(306.000.000.000),(306.000.000.000),,,,-306000000000.0,-306000000000.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,(10.092.308.034),-,(10.092.308.034),,,-10092308034.0,,-10092308034.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,44.729.227.060.000,3.211.560.416.270,891.907.691.966,17.118.278.967.687,65.950.974.135.923,44729227060000.0,3211560416270.0,891907691966.0,17118278967687.0,65950974135923.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,5.460.660.998.365,5.460.660.998.365,,,,5460660998365.0,5460660998365.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 21),Trả cổ tức bằng cổ phiếu (Thuyết minh 21),Trả cổ tức bằng cổ phiếu (Thuyết minh 21),13.418.629.940.000,-,-,(13.418.629.940.000),-,13418629940000.0,,,-13418629940000.0,
Trả cổ tức bằng tiền (Thuyết minh 22),Trả cổ tức bằng tiền (Thuyết minh 22),Trả cổ tức bằng tiền (Thuyết minh 22),-,-,-,(2.236.461.353.000),(2.236.461.353.000),,,,-2236461353000.0,-2236461353000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,(761.000.000.000),(761.000.000.000),,,,-761000000000.0,-761000000000.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,(88.766.869.906),-,(88.766.869.906),,,-88766869906.0,,-88766869906.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,58.147.857.000.000,3.211.560.416.270,803.140.822.060,6.162.848.673.052,68.325.406.911.382,58147857000000.0,3211560416270.0,803140822060.0,6162848673052.0,68325406911382.0
