row_label_raw,row_label_full,20. Thuế phải nộp Ngân sách Nhà nước,20. Thuế phải nộp Ngân sách Nhà nước_1,20. Thuế phải nộp Ngân sách Nhà nước_2,20. Thuế phải nộp Ngân sách Nhà nước_3,20. Thuế phải nộp Ngân sách Nhà nước_4,20. Thuế phải nộp Ngân sách Nhà nước_5,20. Thuế phải nộp Ngân sách Nhà nước_6,numeric__20. Thuế phải nộp Ngân sách Nhà nước_1,numeric__20. Thuế phải nộp Ngân sách Nhà nước_2,numeric__20. Thuế phải nộp Ngân sách Nhà nước_3,numeric__20. Thuế phải nộp Ngân sách Nhà nước_4,numeric__20. Thuế phải nộp Ngân sách Nhà nước_5,numeric__20. Thuế phải nộp Ngân sách Nhà nước_6
(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,(a) Thuế phải nộp Ngân sách Nhà nước,,,,,,
,,,1/1/2015 VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Cán trừ VND,Chênh lệch quy đổi tỷ giá VND,31/12/2015 VND,,,,,,
Thuế giá trị gia tăng,(a) Thuế phải nộp Ngân sách Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.467.679.371,7.602.576.679,(8.600.534.495),-,-,469.721.555,1467679371.0,7602576679.0,-8600534495.0,,,469721555.0
Thuế xuất nhập khẩu,(a) Thuế phải nộp Ngân sách Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,22.372.307.267,(22.372.307.267),-,-,-,,22372307267.0,-22372307267.0,,,
Thuế thu nhập doanh nghiệp,(a) Thuế phải nộp Ngân sách Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,22.516.001.966,56.579.654.603,(54.645.411.347),(8.949.440.014),89.795.766,15.590.600.974,22516001966.0,56579654603.0,-54645411347.0,-8949440014.0,89795766.0,15590600974.0
Thuế thu nhập cá nhân,(a) Thuế phải nộp Ngân sách Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.409.601.232,8.667.882.164,(8.806.767.579),-,-,1.270.715.817,1409601232.0,8667882164.0,-8806767579.0,,,1270715817.0
Các loại thuế khác,(a) Thuế phải nộp Ngân sách Nhà nước > Các loại thuế khác,Các loại thuế khác,11.219.600,135.030.545,(145.800.145),-,-,450.000,11219600.0,135030545.0,-145800145.0,,,450000.0
,,,25.404.502.169,95.357.451.258,(94.570.820.833),(8.949.440.014),89.795.766,17.331.488.346,25404502169.0,95357451258.0,-94570820833.0,-8949440014.0,89795766.0,17331488346.0
(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,,,,,,
,,,,,1/1/2015 VND,Số đã nộp trong năm VND,Số đã được hoàn lại trong năm VND,31/12/2015 VND,,,,,,
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Ngân sách Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,273.715.276,14.593.214.571,-,14.866.929.847,,,273715276.0,14593214571.0,,14866929847.0
Thuế xuất nhập khẩu,(b) Thuế phải thu Ngân sách Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,,,16.839.024.763,-,(7.027.577.736),9.811.447.027,,,16839024763.0,,-7027577736.0,9811447027.0
Thuế thu nhập cá nhân,(b) Thuế phải thu Ngân sách Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,,60.465.465,520.639.588,(20.321.772),560.783.281,,,60465465.0,520639588.0,-20321772.0,560783281.0
,,,,,17.173.205.504,15.113.854.159,(7.047.899.508),25.239.160.155,,,17173205504.0,15113854159.0,-7047899508.0,25239160155.0
