row_label_raw,row_label_full,Năm kết thúc ngày31 tháng 12 năm 2014,Nuôi trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuôi trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,179.722.305,9.466.876.819.579,5.573.262.223.831,54.422.187.244,-,15.094.740.952.959,179722305.0,9466876819579.0,5573262223831.0,54422187244.0,,15094740952959.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,43.867.537.283,11.045.350.743.242,45.819.920.161,57.470.262.556,(11.192.508.463.242),-,43867537283.0,11045350743242.0,45819920161.0,57470262556.0,-11192508463242.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,44.047.259.588,20.512.227.562.821,5.619.082.143.992,111.892.449.800,(11.192.508.463.242),15.094.740.952.959,44047259588.0,20512227562821.0,5619082143992.0,111892449800.0,-11192508463242.0,15094740952959.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(30.095.941.235),1.138.083.193.299,43.964.969.544,21.247.705.385,(9.427.376.685),1.163.772.550.308,-30095941235.0,1138083193299.0,43964969544.0,21247705385.0,-9427376685.0,1163772550308.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,146.635.796.390,,,,,,146635796390.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(257.698.717.542),,,,,,-257698717542.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,1.052.709.629.156,,,,,,1052709629156.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,9.762.705.782,,,,,,9762705782.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(14.934.290.801),,,,,,-14934290801.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(126.489.708.663),,,,,,-126489708663.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,921.048.335.474,,,,,,921048335474.0
