row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,700.000.000.000,177.876.869.236,(18.537.405.861),93.674.067.633,46.193.076.413,585.138.995.010,436.327.670.345,2.020.673.272.776,700000000000.0,177876869236.0,-18537405861.0,93674067633.0,46193076413.0,585138995010.0,436327670345.0,2020673272776.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,755.076.670.570,165.971.664.904,921.048.335.474,,,,,,755076670570.0,165971664904.0,921048335474.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(61.624.685.000),-,-,-,-,(61.624.685.000),,,-61624685000.0,,,,,-61624685000.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,19.568.019.222,(19.568.019.222),-,-,,,,,19568019222.0,-19568019222.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(32.091.405.133),-,(32.091.405.133),,,,,,-32091405133.0,,-32091405133.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,(448.288.090.000),(114.018.300.607),(562.306.390.607),,,,,,-448288090000.0,-114018300607.0,-562306390607.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(16.279.311.802),-,-,(16.279.311.802),,,,,-16279311802.0,,,-16279311802.0
Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,-,-,5.219.703.156,-,-,579.967.018,5.799.670.174,,,,5219703156.0,,,579967018.0,5799670174.0
Phân bổ vào lợi ích cổ đông không kiểm soát,Phân bổ vào lợi ích cổ đông không kiểm soát,Phân bổ vào lợi ích cổ đông không kiểm soát,-,-,-,-,(2.343.235.739),3.006.233.178,(662.997.439),-,,,,,-2343235739.0,3006233178.0,-662997439.0,
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,700.000.000.000,177.876.869.236,(80.162.090.861),98.893.770.789,47.138.548.094,843.274.384.403,488.198.004.221,2.275.219.485.882,700000000000.0,177876869236.0,-80162090861.0,98893770789.0,47138548094.0,843274384403.0,488198004221.0,2275219485882.0
Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,-,-,-,-,-,-,100.000.000,100.000.000,,,,,,,100000000.0,100000000.0
Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,32.446.203.539,(39.392.090.904),(6.945.887.365),,,,,,32446203539.0,-39392090904.0,-6945887365.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,41.739.407.170,(41.739.407.170),-,-,,,,,41739407170.0,-41739407170.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(27.101.848.228),-,(27.101.848.228),,,,,,-27101848228.0,,-27101848228.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,-,(1.760.370.991),(1.760.370.991),,,,,,,-1760370991.0,-1760370991.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(14.798.702.000),-,-,(14.798.702.000),,,,,-14798702000.0,,,-14798702000.0
Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,-,-,16.962.570.031,-,-,1.884.730.003,18.847.300.034,,,,16962570031.0,,,1884730003.0,18847300034.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(32.467.500.000),32.467.500.000,-,,,,,,-32467500000.0,32467500000.0,
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,700.000.000.000,177.876.869.236,(80.162.090.861),115.856.340.820,74.079.253.264,774.411.832.544,481.497.772.329,2.243.559.977.332,700000000000.0,177876869236.0,-80162090861.0,115856340820.0,74079253264.0,774411832544.0,481497772329.0,2243559977332.0
